Tick (ms),ADC Value
22488,21
22490,10
22492,8
22494,38
22496,25
22498,25
22500,36
22502,37
22504,43
22506,38
22508,23
22510,17
22512,23
22514,45
22516,36
22518,51
22520,34
22522,22
22524,24
22526,43
22528,24
22530,15
22532,19
22534,37
22536,45
22538,43
22540,38
22542,29
22544,18
22546,40
22548,46
22550,40
22552,31
22554,27
22556,35
22558,32
22560,11
22562,8
22564,1
22566,42
22568,-3
22570,14
22572,1
22574,25
22576,39
22578,10
22580,14
22582,33
22584,22
22586,25
22588,34
22590,26
22592,3
22594,16
22596,42
22598,38
22600,8
22602,30
22604,50
22606,21
22608,8
22610,29
22612,25
22614,29
22616,33
22618,40
22620,30
22622,22
22624,46
22626,21
22628,30
22630,39
22632,40
22634,12
22636,30
22638,39
22640,22
22642,39
22644,25
22646,8
22648,30
22650,1
22652,10
22654,9
22656,21
22658,47
22660,36
22662,45
22664,52
22666,31
22668,21
22670,28
22672,17
22674,43
22676,35
22678,49
22680,49
22682,36
22684,27
22686,24
22688,4
22690,5
22692,8
22694,10
22696,34
22698,39
22700,42
22702,27
22704,34
22706,30
22708,36
22710,47
22712,21
22714,30
22716,54
22718,35
22720,58
22722,37
22724,19
22726,28
22728,18
22730,9
22732,20
22734,10
22736,39
22738,40
22740,7
22742,12
22744,33
22746,29
22748,30
22750,19
22752,33
22754,20
22756,40
22758,35
22760,37
22762,22
22764,36
22766,60
22768,20
22770,32
22772,31
22774,36
22776,23
22778,35
22780,18
22782,49
22784,29
22786,16
22788,24
22790,20
22792,31
22794,18
22796,39
22798,4
22800,39
22802,22
22804,22
22806,42
22808,35
22810,44
22812,14
22814,32
22816,6
22818,36
22820,16
22822,33
22824,11
22826,13
22828,29
22830,32
22832,34
22834,13
22836,4
22838,12
22840,19
22842,27
22844,31
22846,20
22848,26
22850,24
22852,26
22854,30
22856,24
22858,13
22860,42
22862,44
22864,34
22866,41
22868,34
22870,33
22872,11
22874,17
22876,28
22878,30
22880,17
22882,31
22884,46
22886,39
22888,25
22890,26
22892,27
22894,25
22896,7
22898,27
22900,3
22902,47
22904,34
22906,32
22908,45
22910,20
22912,20
22914,28
22916,0
22918,-1
22920,25
22922,31
22924,26
22926,36
22928,29
22930,52
22932,48
22934,43
22936,45
22938,20
22940,44
22942,49
22944,28
22946,25
22948,40
22950,39
22952,34
22954,42
22956,26
22958,33
22960,24
22962,17
22964,29
22966,31
22968,37
22970,37
22972,36
22974,20
22976,33
22978,23
22980,22
22982,21
22984,25
22986,12
22988,20
22990,35
22992,45
22994,52
22996,13
22998,14
23000,16
23002,10
23004,16
23006,10
23008,32
23010,23
23012,29
23014,36
23016,20
23018,35
23020,40
23022,28
23024,22
23026,14
23028,1
23030,33
23032,48
23034,52
23036,34
23038,40
23040,51
23042,34
23044,26
23046,16
23048,27
23050,39
23052,41
23054,56
23056,32
23058,25
23060,51
23062,29
23064,4
23066,19
23068,31
23070,52
23072,40
23074,58
23076,44
23078,59
23080,61
23082,49
23084,24
23086,39
23088,38
23090,35
23092,43
23094,40
23096,36
23098,33
23100,26
23102,37
23104,34
23106,3
23108,19
23110,39
23112,15
23114,50
23116,46
23118,20
23120,10
23122,14
23124,12
23126,18
23128,9
23130,31
23132,32
23134,22
23136,24
23138,18
23140,7
23142,14
23144,-1
23146,10
23148,13
23150,12
23152,14
23154,15
23156,20
23158,32
23160,31
23162,32
23164,28
23166,8
23168,42
23170,50
23172,40
23174,21
23176,48
23178,41
23180,26
23182,25
23184,27
23186,34
23188,25
23190,44
23192,41
23194,30
23196,35
23198,30
23200,45
23202,36
23204,29
23206,43
23208,35
23210,21
23212,28
23214,59
23216,41
23218,20
23220,15
23222,18
23224,20
23226,40
23228,25
23230,17
23232,12
23234,29
23236,10
23238,20
23240,11
23242,40
23244,23
23246,24
23248,7
23250,18
23252,13
23254,10
23256,16
23258,13
23260,22
23262,24
23264,23
23266,32
23268,14
23270,24
23272,20
23274,35
23276,36
23278,22
23280,42
23282,21
23284,42
23286,28
23288,19
23290,17
23292,31
23294,27
23296,44
23298,35
23300,51
23302,42
23304,32
23306,17
23308,19
23310,29
23312,15
23314,34
23316,17
23318,30
23320,27
23322,32
23324,38
23326,17
23328,26
23330,19
23332,28
23334,23
23336,33
23338,46
23340,29
23342,40
23344,31
23346,53
23348,41
23350,43
23352,43
23354,40
23356,47
23358,40
23360,41
23362,55
23364,19
23366,39
23368,24
23370,31
23372,17
23374,29
23376,38
23378,23
23380,20
23382,14
23384,14
23386,29
23388,34
23390,33
23392,21
23394,17
23396,57
23398,37
23400,24
23402,45
23404,21
23406,17
23408,26
23410,9
23412,23
23414,41
23416,19
23418,20
23420,42
23422,6
23424,31
23426,33
23428,24
23430,25
23432,44
23434,27
23436,22
23438,36
23440,16
23442,28
23444,47
23446,22
23448,28
23450,25
23452,22
23454,42
23456,40
23458,47
23460,41
23462,40
23464,40
23466,37
23468,31
23470,35
23472,24
23474,38
23476,46
23478,18
23480,49
23482,30
23484,41
23486,39
23488,51
23490,39
23492,45
23494,35
23496,35
23498,33
23500,18
23502,42
23504,46
23506,27
23508,40
23510,25
23512,43
23514,21
23516,37
23518,19
23520,29
23522,22
23524,26
23526,21
23528,28
23530,32
23532,26
23534,19
23536,33
23538,18
23540,40
23542,49
23544,18
23546,22
23548,27
23550,14
23552,47
23554,25
23556,11
23558,29
23560,26
23562,38
23564,47
23566,45
23568,62
23570,31
23572,45
23574,40
23576,59
23578,39
23580,25
23582,40
23584,51
23586,26
23588,40
23590,8
23592,33
23594,10
23596,33
23598,33
23600,39
23602,45
23604,30
23606,44
23608,47
23610,37
23612,20
23614,51
23616,29
23618,31
23620,37
23622,35
23624,22
23626,33
23628,36
23630,2
23632,8
23634,24
23636,13
23638,-1
23640,23
23642,11
23644,15
23646,13
23648,17
23650,28
23652,29
23654,25
23656,23
23658,27
23660,37
23662,44
23664,59
23666,42
23668,34
23670,32
23672,31
23674,42
23676,32
23678,35
23680,26
23682,27
23684,16
23686,27
23688,19
23690,34
23692,24
23694,28
23696,22
23698,37
23700,22
23702,26
23704,30
23706,16
23708,44
23710,15
23712,42
23714,32
23716,31
23718,40
23720,50
23722,33
23724,23
23726,26
23728,29
23730,35
23732,9
23734,10
23736,38
23738,21
23740,33
23742,9
23744,12
23746,22
23748,35
23750,22
23752,41
23754,30
23756,36
23758,16
23760,24
23762,31
23764,27
23766,35
23768,32
23770,22
23772,42
23774,42
23776,27
23778,19
23780,50
23782,47
23784,37
23786,42
23788,28
23790,32
23792,36
23794,22
23796,20
23798,19
23800,40
23802,26
23804,19
23806,10
23808,19
23810,19
23812,15
23814,28
23816,44
23818,50
23820,20
23822,43
23824,36
23826,29
23828,46
23830,53
23832,64
23834,47
23836,40
23838,52
23840,33
23842,43
23844,33
23846,60
23848,30
23850,46
23852,27
23854,34
23856,21
23858,19
23860,36
23862,41
23864,32
23866,31
23868,24
23870,27
23872,16
23874,28
23876,33
23878,20
23880,37
23882,17
23884,26
23886,53
23888,49
23890,37
23892,53
23894,17
23896,35
23898,25
23900,22
23902,44
23904,34
23906,26
23908,24
23910,21
23912,30
23914,14
23916,26
23918,8
23920,37
23922,20
23924,31
23926,42
23928,31
23930,41
23932,23
23934,31
23936,50
23938,23
23940,47
23942,52
23944,37
23946,38
23948,45
23950,31
23952,32
23954,14
23956,51
23958,32
23960,15
23962,22
23964,39
23966,40
23968,31
23970,40
23972,11
23974,12
23976,35
23978,25
23980,33
23982,53
23984,42
23986,48
23988,29
23990,37
23992,37
23994,21
23996,21
23998,16
24000,43
24002,25
24004,21
24006,12
24008,12
24010,9
24012,11
24014,5
24016,24
24018,38
24020,43
24022,32
24024,36
24026,29
24028,37
24030,24
24032,15
24034,36
24036,28
24038,37
24040,28
24042,38
24044,28
24046,26
24048,17
24050,38
24052,4
24054,24
24056,24
24058,17
24060,15
24062,39
24064,39
24066,17
24068,43
24070,10
24072,34
24074,40
24076,41
24078,32
24080,22
24082,33
24084,27
24086,41
24088,24
24090,18
24092,42
24094,30
24096,52
24098,51
24100,46
24102,44
24104,48
24106,54
24108,16
24110,35
24112,40
24114,41
24116,30
24118,28
24120,51
24122,41
24124,20
24126,32
24128,41
24130,23
24132,19
24134,44
24136,27
24138,41
24140,33
24142,37
24144,32
24146,35
24148,45
24150,42
24152,53
24154,29
24156,50
24158,9
24160,25
24162,22
24164,29
24166,31
24168,33
24170,31
24172,15
24174,21
24176,17
24178,35
24180,24
24182,13
24184,34
24186,22
24188,48
24190,46
24192,29
24194,20
24196,20
24198,34
24200,27
24202,44
24204,25
24206,23
24208,62
24210,61
24212,15
24214,47
24216,23
24218,44
24220,43
24222,34
24224,38
24226,39
24228,34
24230,5
24232,1
24234,15
24236,4
24238,17
24240,27
24242,29
24244,18
24246,18
24248,22
24250,35
24252,20
24254,33
24256,17
24258,8
24260,26
24262,40
24264,29
24266,21
24268,18
24270,43
24272,18
24274,25
24276,5
24278,23
24280,45
24282,33
24284,26
24286,30
24288,44
24290,26
24292,47
24294,45
24296,39
24298,41
24300,30
24302,53
24304,27
24306,23
24308,56
24310,36
24312,38
24314,34
24316,35
24318,26
24320,45
24322,32
24324,46
24326,50
24328,24
24330,36
24332,32
24334,22
24336,24
24338,42
24340,23
24342,20
24344,14
24346,22
24348,27
24350,44
24352,30
24354,29
24356,40
24358,42
24360,36
24362,49
24364,19
24366,13
24368,15
24370,33
24372,21
24374,33
24376,18
24378,30
24380,24
24382,51
24384,43
24386,45
24388,33
24390,40
24392,36
24394,25
24396,25
24398,22
24400,23
24402,37
24404,2
24406,13
24408,14
24410,21
24412,29
24414,32
24416,30
24418,50
24420,53
24422,41
24424,51
24426,32
24428,41
24430,32
24432,46
24434,43
24436,18
24438,36
24440,18
24442,28
24444,28
24446,19
24448,28
24450,18
24452,30
24454,15
24456,22
24458,40
24460,33
24462,25
24464,41
24466,43
24468,41
24470,49
24472,30
24474,31
24476,30
24478,29
24480,37
24482,16
24484,18
24486,40
24488,31
24490,31
24492,13
24494,13
24496,21
24498,17
24500,23
24502,32
24504,35
24506,15
24508,26
24510,37
24512,26
24514,40
24516,31
24518,25
24520,24
24522,19
24524,42
24526,28
24528,37
24530,34
24532,44
24534,24
24536,27
24538,20
24540,40
24542,24
24544,21
24546,22
24548,31
24550,31
24552,33
24554,16
24556,14
24558,14
24560,40
24562,46
24564,25
24566,30
24568,37
24570,38
24572,43
24574,23
24576,40
24578,16
24580,10
24582,12
24584,30
24586,14
24588,36
24590,23
24592,36
24594,16
24596,15
24598,26
24600,23
24602,42
24604,21
24606,16
24608,49
24610,52
24612,30
24614,32
24616,20
24618,42
24620,37
24622,45
24624,32
24626,42
24628,26
24630,34
24632,33
24634,41
24636,36
24638,26
24640,25
24642,51
24644,33
24646,50
24648,22
24650,40
24652,53
24654,23
24656,25
24658,29
24660,34
24662,55
24664,52
24666,28
24668,30
24670,43
24672,27
24674,48
24676,18
24678,23
24680,54
24682,28
24684,37
24686,51
24688,15
24690,14
24692,22
24694,50
24696,49
24698,48
24700,33
24702,22
24704,37
24706,17
24708,27
24710,28
24712,27
24714,25
24716,25
24718,15
24720,24
24722,26
24724,21
24726,20
24728,14
24730,13
24732,14
24734,43
24736,43
24738,56
24740,47
24742,45
24744,47
24746,51
24748,39
24750,11
24752,52
24754,36
24756,18
24758,13
24760,22
24762,33
24764,35
24766,30
24768,15
24770,22
24772,14
24774,34
24776,11
24778,42
24780,15
24782,35
24784,26
24786,50
24788,33
24790,32
24792,24
24794,29
24796,20
24798,25
24800,35
24802,30
24804,16
24806,37
24808,24
24810,26
24812,19
24814,30
24816,23
24818,39
24820,17
24822,33
24824,33
24826,30
24828,27
24830,58
24832,37
24834,40
24836,29
24838,35
24840,20
24842,36
24844,21
24846,41
24848,24
24850,21
24852,20
24854,24
24856,21
24858,29
24860,22
24862,20
24864,34
24866,24
24868,14
24870,25
24872,10
24874,46
24876,10
24878,11
24880,22
24882,24
24884,13
24886,35
24888,17
24890,57
24892,35
24894,25
24896,28
24898,14
24900,30
24902,33
24904,36
24906,30
24908,37
24910,12
24912,23
24914,37
24916,25
24918,22
24920,30
24922,22
24924,26
24926,11
24928,23
24930,28
24932,31
24934,22
24936,37
24938,38
24940,30
24942,43
24944,50
24946,48
24948,45
24950,26
24952,41
24954,33
24956,44
24958,36
24960,41
24962,30
24964,19
24966,36
24968,25
24970,40
24972,42
24974,31
24976,30
24978,12
24980,50
24982,12
24984,25
24986,13
24988,22
24990,22
24992,16
24994,40
24996,30
24998,49
25000,28
25002,32
25004,32
25006,25
25008,30
25010,37
25012,34
25014,27
25016,32
25018,42
25020,15
25022,19
25024,2
25026,15
25028,32
25030,38
25032,10
25034,28
25036,16
25038,30
25040,36
25042,25
25044,16
25046,28
25048,14
25050,42
25052,45
25054,46
25056,60
25058,37
25060,41
25062,19
25064,46
25066,18
25068,46
25070,25
25072,57
25074,32
25076,38
25078,19
25080,12
25082,10
25084,16
25086,24
25088,37
25090,43
25092,45
25094,38
25096,59
25098,59
25100,23
25102,35
25104,19
25106,1
25108,44
25110,43
25112,40
25114,30
25116,46
25118,32
25120,14
25122,15
25124,21
25126,14
25128,24
25130,13
25132,26
25134,17
25136,37
25138,23
25140,20
25142,7
25144,-3
25146,22
25148,17
25150,31
25152,33
25154,19
25156,48
25158,21
25160,36
25162,37
25164,45
25166,22
25168,46
25170,38
25172,37
25174,40
25176,41
25178,37
25180,21
25182,16
25184,47
25186,52
25188,39
25190,36
25192,37
25194,37
25196,48
25198,51
25200,18
25202,40
25204,53
25206,56
25208,41
25210,36
25212,33
25214,35
25216,16
25218,34
25220,27
25222,29
25224,37
25226,42
25228,32
