Tick (ms),ADC Value
1410,48
1412,62
1414,62
1416,44
1418,50
1420,40
1422,30
1424,48
1426,-3
1428,20
1430,0
1432,-14
1434,10
1436,-13
1438,-3
1440,-10
1442,-24
1444,-23
1446,-50
1448,-60
1450,-61
1452,-44
1454,-20
1456,-53
1458,-57
1460,-58
1462,-60
1464,-48
1466,-76
1468,-36
1470,-32
1472,-32
1474,-15
1476,-12
1478,-18
1480,-37
1482,-5
1484,8
1486,-5
1488,40
1490,50
1492,28
1494,78
1496,102
1498,120
1500,64
1502,126
1504,72
1506,130
1508,116
1510,108
1512,84
1514,130
1516,94
1518,80
1520,114
1522,94
1524,70
1526,102
1528,48
1530,16
1532,22
1534,32
1536,-8
1538,1
1540,-25
1542,6
1544,-33
1546,-27
1548,-29
1550,-17
1552,-27
1554,-35
1556,-50
1558,-31
1560,-51
1562,-69
1564,-52
1566,-17
1568,-42
1570,-22
1572,-25
1574,-34
1576,-55
1578,-46
1580,-22
1582,-9
1584,11
1586,-6
1588,21
1590,23
1592,-22
1594,-14
1596,-16
1598,-8
1600,17
1602,36
1604,52
1606,56
1608,45
1610,25
1612,24
1614,0
1616,17
1618,12
1620,57
1622,85
1624,99
1626,76
1628,63
1630,41
1632,23
1634,16
1636,-2
1638,36
1640,39
1642,39
1644,78
1646,24
1648,6
1650,-3
1652,-20
1654,-33
1656,-51
1658,-53
1660,-27
1662,-12
1664,-10
1666,-20
1668,0
1670,-48
1672,-54
1674,-57
1676,-90
1678,-68
1680,-31
1682,-9
1684,11
1686,-3
1688,-29
1690,-53
1692,-76
1694,-65
1696,-62
1698,-47
1700,-17
1702,3
1704,16
1706,21
1708,24
1710,11
1712,-4
1714,2
1716,-27
1718,-12
1720,19
1722,55
1724,76
1726,70
1728,48
1730,55
1732,31
1734,-3
1736,36
1738,31
1740,39
1742,70
1744,77
1746,85
1748,70
1750,65
1752,41
1754,8
1756,20
1758,6
1760,30
1762,15
1764,6
1766,0
1768,7
1770,2
1772,-27
1774,-32
1776,-51
1778,-36
1780,-22
1782,-21
1784,-12
1786,-12
1788,-32
