Tick (ms),ADC Value
832706,242
832708,256
832710,279
832712,264
832714,291
832716,271
832718,289
832720,276
832722,256
832724,265
832726,235
832728,244
832730,252
832732,222
832734,243
832736,253
832738,232
832740,248
832742,257
832744,248
832746,259
832748,264
832750,267
832752,270
832754,263
832756,256
832758,253
832760,265
832762,277
832764,271
832766,257
832768,280
832770,275
832772,249
832774,265
832776,269
832778,277
832780,271
832782,258
832784,272
832786,244
832788,248
832790,242
832792,250
832794,264
832796,266
832798,267
832800,231
832802,222
832804,231
832806,203
832808,240
832810,250
832812,240
832814,233
832816,236
832818,235
832820,229
832822,204
832824,210
832826,234
832828,209
832830,230
832832,205
832834,247
832836,258
832838,234
832840,228
832842,231
832844,217
832846,217
832848,237
832850,271
832852,242
832854,248
832856,275
832858,268
832860,277
832862,254
832864,261
832866,233
832868,239
832870,216
832872,223
832874,230
832876,238
832878,239
832880,238
832882,227
832884,249
832886,210
832888,206
832890,210
832892,135
832894,207
832896,222
832898,237
832900,211
832902,220
832904,186
832906,190
832908,199
832910,233
832912,200
832914,225
832916,191
832918,201
832920,201
832922,180
832924,204
832926,236
832928,242
832930,235
832932,222
832934,234
832936,213
832938,203
832940,206
832942,204
832944,210
832946,227
832948,226
832950,239
832952,239
832954,219
832956,206
832958,212
832960,194
832962,203
832964,205
832966,206
832968,227
832970,199
832972,194
832974,213
832976,204
832978,205
832980,191
832982,194
832984,182
832986,174
832988,191
832990,176
832992,144
832994,166
832996,171
832998,181
833000,204
833002,192
833004,168
833006,180
833008,191
833010,178
833012,198
833014,187
833016,171
833018,191
833020,208
833022,204
833024,196
833026,210
833028,192
833030,195
833032,188
833034,205
833036,188
833038,188
833040,214
833042,206
833044,193
833046,202
833048,187
833050,187
833052,185
833054,159
833056,172
833058,184
833060,172
833062,174
833064,191
833066,196
833068,167
833070,163
833072,161
833074,155
833076,173
833078,192
833080,199
833082,179
833084,196
833086,210
833088,177
833090,163
833092,147
833094,147
833096,156
833098,155
833100,171
833102,202
833104,195
833106,203
833108,196
833110,198
833112,186
833114,173
833116,189
833118,186
833120,167
833122,169
833124,173
833126,209
833128,193
833130,180
833132,206
833134,181
833136,176
833138,157
833140,140
833142,168
833144,156
833146,142
833148,170
833150,162
833152,166
833154,156
833156,156
833158,170
833160,170
833162,168
833164,160
833166,174
833168,168
833170,181
833172,187
833174,182
833176,195
833178,173
833180,175
833182,186
833184,181
833186,174
833188,186
833190,189
833192,216
833194,197
833196,218
833198,198
833200,184
833202,205
833204,193
833206,198
833208,172
833210,196
833212,206
833214,198
833216,220
833218,179
833220,181
833222,186
833224,164
833226,189
833228,183
833230,180
833232,167
833234,161
833236,165
833238,164
833240,157
833242,171
833244,154
833246,155
833248,152
833250,177
833252,165
833254,150
833256,151
833258,157
833260,162
833262,170
833264,157
833266,171
833268,185
833270,180
833272,183
833274,182
833276,204
833278,190
833280,208
833282,190
833284,206
833286,196
833288,180
833290,184
833292,215
833294,202
833296,195
833298,218
833300,228
833302,188
833304,210
833306,187
833308,198
833310,198
833312,212
833314,196
833316,204
833318,200
833320,197
833322,182
833324,195
833326,209
833328,200
833330,182
833332,205
833334,187
833336,181
833338,184
833340,176
833342,176
833344,182
833346,172
833348,188
833350,184
833352,171
833354,200
833356,172
833358,217
833360,200
833362,182
833364,202
833366,179
833368,171
833370,176
833372,190
833374,195
833376,213
833378,213
833380,186
833382,217
833384,204
833386,183
833388,207
833390,187
833392,193
833394,213
833396,198
833398,214
833400,199
833402,234
833404,194
833406,206
833408,203
833410,206
833412,209
833414,204
833416,214
833418,223
833420,218
833422,226
833424,253
833426,242
833428,250
833430,209
833432,224
833434,211
833436,212
833438,200
833440,214
833442,249
833444,254
833446,240
833448,236
833450,222
833452,236
833454,199
833456,193
833458,197
833460,229
833462,217
833464,235
833466,230
833468,231
833470,218
833472,180
833474,205
833476,200
833478,217
833480,207
833482,204
833484,218
833486,221
833488,235
833490,232
833492,229
833494,210
833496,216
833498,230
833500,245
833502,224
833504,221
833506,229
833508,229
833510,257
833512,251
833514,250
833516,263
833518,269
833520,258
833522,223
833524,250
833526,256
833528,256
833530,266
833532,277
833534,291
833536,292
833538,276
833540,272
833542,266
833544,252
833546,250
833548,254
833550,274
833552,272
833554,269
833556,278
833558,266
833560,286
833562,274
833564,251
833566,265
833568,273
833570,265
833572,275
833574,281
833576,284
833578,268
833580,275
833582,255
833584,275
833586,244
833588,254
833590,233
833592,270
833594,250
833596,287
833598,261
833600,288
833602,272
833604,245
833606,276
833608,274
833610,268
833612,265
833614,284
833616,264
833618,287
833620,267
833622,279
833624,300
833626,303
833628,275
833630,286
833632,289
833634,288
833636,299
833638,289
833640,311
833642,318
833644,322
833646,341
833648,324
833650,291
833652,280
833654,278
833656,282
833658,319
833660,306
833662,335
833664,339
833666,331
833668,319
833670,273
833672,284
833674,279
833676,296
833678,299
833680,307
833682,313
833684,309
833686,310
833688,274
833690,279
833692,280
833694,276
833696,272
833698,264
833700,272
833702,290
833704,278
833706,308
833708,296
833710,300
833712,273
833714,263
833716,287
833718,279
833720,283
833722,272
833724,292
833726,302
833728,289
833730,287
833732,294
833734,292
833736,290
833738,270
833740,282
833742,289
833744,302
833746,300
833748,311
833750,319
833752,302
833754,313
833756,305
833758,325
833760,317
833762,314
833764,301
833766,321
833768,320
833770,315
833772,331
833774,323
833776,337
833778,317
833780,325
833782,314
833784,297
833786,301
833788,302
833790,314
833792,310
833794,302
833796,299
833798,294
833800,290
833802,301
833804,286
833806,279
833808,301
833810,276
833812,316
833814,306
833816,305
833818,291
833820,273
833822,281
833824,265
833826,274
833828,272
833830,287
833832,288
833834,296
833836,306
833838,282
833840,298
833842,291
833844,289
833846,285
833848,285
833850,303
833852,289
833854,301
833856,301
833858,307
833860,291
833862,302
833864,295
833866,279
833868,278
833870,307
833872,299
833874,288
833876,321
833878,311
833880,321
833882,302
833884,291
833886,295
833888,282
833890,306
833892,284
833894,313
833896,301
833898,317
833900,289
833902,310
833904,298
833906,281
833908,291
833910,293
833912,292
833914,292
833916,290
833918,288
833920,285
833922,280
833924,281
833926,276
833928,279
833930,261
833932,270
833934,265
833936,271
833938,253
833940,282
833942,268
833944,285
833946,281
833948,269
833950,264
833952,268
833954,252
833956,267
833958,256
833960,267
833962,285
833964,282
833966,293
833968,268
833970,269
833972,250
833974,261
833976,264
833978,294
833980,281
833982,284
833984,297
833986,297
833988,283
833990,275
833992,310
833994,296
833996,284
833998,291
834000,291
834002,289
834004,265
834006,260
834008,301
834010,286
834012,288
834014,276
834016,274
834018,273
834020,268
834022,253
834024,248
834026,284
834028,283
834030,261
834032,285
834034,256
834036,251
834038,257
834040,243
834042,264
834044,265
834046,252
834048,269
834050,258
834052,260
834054,247
834056,231
834058,273
834060,245
834062,247
834064,238
834066,254
834068,240
834070,242
834072,232
834074,259
834076,249
834078,271
834080,269
834082,268
834084,255
834086,232
834088,252
834090,250
834092,268
834094,258
834096,266
834098,282
834100,251
834102,253
834104,248
834106,223
834108,243
834110,249
834112,246
834114,249
834116,241
834118,258
834120,242
834122,236
834124,249
834126,248
834128,242
834130,253
834132,248
834134,243
834136,233
834138,238
834140,251
834142,240
834144,264
834146,244
834148,244
834150,256
834152,226
834154,220
834156,213
834158,237
834160,215
834162,219
834164,239
834166,229
834168,238
834170,228
834172,239
834174,239
834176,215
834178,227
834180,229
834182,226
834184,235
834186,241
834188,222
834190,224
834192,236
834194,231
834196,248
834198,219
834200,221
834202,204
834204,195
834206,234
834208,245
834210,241
834212,250
834214,239
834216,250
834218,219
834220,203
834222,223
834224,208
834226,249
834228,228
834230,261
834232,228
834234,250
834236,235
834238,211
834240,216
834242,236
834244,204
834246,211
834248,249
834250,244
834252,235
834254,225
834256,213
834258,224
834260,226
834262,218
834264,216
834266,204
834268,227
834270,183
834272,201
834274,214
834276,214
834278,213
834280,211
834282,192
834284,232
834286,215
834288,201
834290,208
834292,196
834294,198
834296,223
834298,207
834300,227
834302,203
834304,212
834306,193
834308,211
834310,214
834312,195
834314,212
834316,198
834318,215
834320,199
834322,229
834324,200
834326,206
834328,211
834330,201
834332,218
834334,189
834336,196
834338,201
834340,209
834342,192
834344,209
834346,199
834348,195
834350,181
834352,173
834354,180
834356,179
834358,176
834360,186
834362,204
834364,195
834366,180
834368,176
834370,177
834372,173
834374,195
834376,196
834378,173
834380,188
834382,207
834384,197
834386,205
834388,177
834390,200
