Tick (ms),ADC Value
2790,-88
2800,-22
2810,-40
2820,-78
2830,-38
2840,-74
2850,39
2860,-56
2870,-64
2880,-80
2890,-44
2900,-14
2910,-12
2920,48
2930,-64
2940,-96
2950,27
2960,-80
2970,-100
2980,-74
2990,19
3000,33
3010,-62
3020,20
3030,-74
3040,36
3050,-70
3060,-38
3070,-80
3080,49
3090,49
3100,20
3110,65
3120,-70
3130,-24
3140,58
3150,64
3160,36
3170,69
3180,25
3190,-62
3200,-50
3210,53
3220,55
3230,-4
3240,-76
3250,-12
3260,-28
3270,-48
3280,-34
3290,-52
3300,53
3310,-30
3320,47
3330,50
3340,49
3350,52
3360,-60
3370,70
3380,32
3390,38
3400,72
3410,-56
3420,52
3430,-96
3440,-78
3450,36
3460,60
3470,57
3480,-54
3490,-28
3500,-76
3510,-56
3520,-74
3530,31
3540,-72
3550,13
3560,-24
3570,-34
3580,-18
3590,-42
3600,-30
3610,-38
3620,-94
3630,-20
3640,-76
3650,30
3660,48
3670,-58
3680,-26
3690,21
3700,76
3710,35
3720,37
3730,-74
3740,-48
3750,-84
3760,-24
3770,27
3780,40
3790,-64
3800,-20
3810,-38
3820,55
3830,-16
3840,35
3850,48
3860,18
3870,-44
3880,47
3890,-48
3900,-22
3910,-74
3920,55
3930,-58
3940,-62
3950,-34
3960,-90
3970,58
3980,68
3990,-58
4000,1
4010,-74
4020,-54
4030,-54
4040,-32
4050,-26
4060,-58
4070,-52
4080,53
4090,-52
4100,-74
4110,-72
4120,-62
4130,-78
4140,-44
4150,41
4160,-48
4170,60
4180,30
4190,-44
4200,34
4210,61
4220,-62
4230,1
4240,36
4250,-18
4260,-48
4270,45
4280,57
4290,-62
4300,-20
4310,-78
4320,48
4330,-70
4340,30
4350,-60
4360,48
4370,-76
4380,-16
4390,34
4400,30
4410,47
4420,-20
4430,-34
4440,-46
4450,57
4460,75
4470,75
4480,-52
4490,-20
4500,-64
4510,15
4520,-74
4530,-50
4540,-66
4550,-34
4560,-52
4570,-2
4580,-76
4590,-58
4600,39
4610,-16
4620,0
4630,-70
4640,-46
4650,-72
4660,-60
4670,3
4680,-30
4690,-58
4700,-58
4710,61
4720,-4
4730,-94
4740,47
4750,-92
4760,46
4770,31
4780,-48
4790,22
4800,-72
4810,5
