Tick (ms),ADC Value,ForceValue
16510,1,0.676551724
16512,-18,-12.17793103
16514,-17,-11.50137931
16516,0,0
16518,-4,-2.706206897
16520,20,13.53103448
16522,4,2.706206897
16524,-1,-0.676551724
16526,-18,-12.17793103
16528,-9,-6.088965517
16530,-31,-20.97310345
16532,-23,-15.56068966
16534,2,1.353103448
16536,4,2.706206897
16538,0,0
16540,3,2.029655172
16542,-14,-9.471724138
16544,-7,-4.735862069
16546,-19,-12.85448276
16548,-52,-35.18068966
16550,-23,-15.56068966
16552,-34,-23.00275862
16554,-2,-1.353103448
16556,-6,-4.059310345
16558,-12,-8.11862069
16560,-31,-20.97310345
16562,-16,-10.82482759
16564,-37,-25.03241379
16566,-31,-20.97310345
16568,-19,-12.85448276
16570,-15,-10.14827586
16572,-32,-21.64965517
16574,-12,-8.11862069
16576,-6,-4.059310345
16578,-42,-28.41517241
16580,-34,-23.00275862
16582,-64,-43.29931034
16584,-30,-20.29655172
16586,-38,-25.70896552
16588,-15,-10.14827586
16590,15,10.14827586
16592,0,0
16594,1,0.676551724
16596,-28,-18.94344828
16598,-63,-42.62275862
16600,-27,-18.26689655
16602,-31,-20.97310345
16604,-20,-13.53103448
16606,-33,-22.3262069
16608,-3,-2.029655172
16610,4,2.706206897
16612,-21,-14.20758621
16614,-19,-12.85448276
16616,-32,-21.64965517
16618,-33,-22.3262069
16620,-25,-16.9137931
16622,-17,-11.50137931
16624,-8,-5.412413793
16626,-5,-3.382758621
16628,-6,-4.059310345
16630,0,0
16632,-36,-24.35586207
16634,-17,-11.50137931
16636,-24,-16.23724138
16638,-32,-21.64965517
16640,-30,-20.29655172
16642,-30,-20.29655172
16644,-17,-11.50137931
16646,-4,-2.706206897
16648,-28,-18.94344828
16650,-40,-27.06206897
16652,3,2.029655172
16654,-23,-15.56068966
16656,-40,-27.06206897
16658,-59,-39.91655172
16660,-54,-36.5337931
16662,-37,-25.03241379
16664,-26,-17.59034483
16666,-11,-7.442068966
16668,-3,-2.029655172
16670,-4,-2.706206897
16672,-24,-16.23724138
16674,-33,-22.3262069
16676,-51,-34.50413793
16678,-47,-31.79793103
16680,-42,-28.41517241
16682,-17,-11.50137931
16684,23,15.56068966
16686,19,12.85448276
16688,-8,-5.412413793
16690,-26,-17.59034483
16692,-54,-36.5337931
16694,-48,-32.47448276
16696,-13,-8.795172414
16698,-34,-23.00275862
16700,0,0
16702,13,8.795172414
16704,9,6.088965517
16706,-3,-2.029655172
16708,-17,-11.50137931
16710,-18,-12.17793103
16712,-5,-3.382758621
16714,-1,-0.676551724
16716,4,2.706206897
16718,31,20.97310345
16720,8,5.412413793
16722,9,6.088965517
16724,9,6.088965517
16726,-31,-20.97310345
16728,-27,-18.26689655
16730,-22,-14.88413793
16732,-19,-12.85448276
16734,-15,-10.14827586
16736,2,1.353103448
16738,-4,-2.706206897
16740,19,12.85448276
16742,0,0
16744,-3,-2.029655172
16746,-33,-22.3262069
16748,-37,-25.03241379
16750,-29,-19.62
16752,-25,-16.9137931
16754,-35,-23.67931034
16756,-26,-17.59034483
16758,-25,-16.9137931
16760,-10,-6.765517241
16762,-13,-8.795172414
16764,-17,-11.50137931
16766,-31,-20.97310345
16768,-39,-26.38551724
