Tick (ms),ADC Value
187660,51
187662,60
187664,35
187666,39
187668,20
187670,15
187672,28
187674,21
187676,7
187678,33
187680,31
187682,48
187684,39
187686,22
187688,-6
187690,-1
187692,9
187694,-11
187696,5
187698,9
187700,11
187702,1
187704,-4
187706,5
187708,-31
187710,-63
187712,-57
187714,-65
187716,-25
187718,-25
187720,-26
187722,-11
187724,-14
187726,-6
187728,-11
187730,-33
187732,-31
187734,-37
187736,-8
187738,-5
187740,38
187742,50
187744,32
187746,32
187748,8
187750,-10
187752,-16
187754,13
187756,20
187758,36
187760,47
187762,70
187764,92
187766,66
187768,8
187770,-5
187772,-3
187774,27
187776,13
187778,26
187780,57
187782,67
187784,79
187786,38
187788,26
187790,12
187792,-32
187794,-16
187796,3
187798,22
187800,-2
187802,-2
187804,12
187806,0
187808,8
187810,-16
187812,-35
187814,-31
187816,-35
187818,-20
187820,-6
187822,28
187824,10
187826,11
187828,-9
187830,7
187832,4
187834,-29
187836,-22
187838,-15
187840,-8
187842,10
187844,13
187846,30
187848,46
187850,-2
187852,20
187854,5
187856,30
187858,30
187860,14
187862,32
187864,43
187866,72
187868,28
187870,41
187872,31
187874,35
187876,46
187878,45
187880,37
187882,33
187884,33
187886,22
187888,42
187890,55
187892,23
187894,32
187896,18
187898,33
187900,23
187902,24
187904,7
187906,12
187908,16
187910,0
187912,22
187914,38
187916,4
187918,-12
187920,10
187922,16
187924,5
187926,-1
187928,2
187930,24
187932,11
187934,6
187936,39
187938,24
187940,8
187942,41
187944,19
187946,54
187948,42
187950,34
187952,29
187954,4
187956,37
187958,66
187960,56
187962,29
187964,66
187966,63
187968,43
187970,30
187972,48
187974,42
187976,19
187978,22
187980,41
187982,59
187984,30
187986,37
187988,25
187990,58
187992,46
187994,9
187996,17
187998,37
188000,28
188002,43
188004,51
188006,48
188008,46
188010,33
188012,34
188014,16
188016,29
188018,11
188020,37
188022,25
188024,35
188026,44
188028,45
188030,30
188032,28
188034,32
188036,9
188038,9
188040,37
188042,6
188044,18
188046,41
188048,51
188050,44
188052,8
188054,24
188056,28
188058,-2
188060,16
188062,24
188064,43
188066,17
188068,31
188070,44
188072,30
188074,12
188076,20
188078,-14
188080,22
188082,8
188084,11
188086,0
188088,19
188090,5
188092,23
188094,20
188096,-12
188098,15
188100,2
188102,0
188104,26
188106,13
188108,33
188110,14
188112,49
188114,20
188116,12
188118,9
188120,10
188122,1
188124,32
188126,23
188128,71
188130,46
188132,70
188134,16
188136,37
188138,34
188140,28
188142,43
188144,32
188146,30
188148,59
188150,57
188152,27
188154,22
188156,33
188158,38
188160,29
188162,14
188164,-5
188166,12
188168,11
188170,-8
188172,15
188174,7
188176,20
188178,-14
188180,-25
188182,-31
188184,-15
188186,-11
188188,-8
188190,2
188192,-16
188194,0
188196,2
188198,-10
188200,-37
188202,-23
188204,-5
188206,8
188208,22
188210,12
188212,37
188214,48
188216,52
188218,33
188220,24
188222,12
188224,46
188226,37
188228,24
188230,42
188232,57
188234,44
188236,41
188238,43
188240,45
188242,32
188244,39
188246,43
188248,39
188250,51
188252,51
188254,60
188256,49
188258,29
188260,48
188262,27
188264,10
188266,19
188268,24
188270,11
188272,9
188274,30
188276,26
188278,29
188280,25
188282,0
188284,-28
188286,2
188288,7
188290,-17
188292,6
188294,-1
188296,18
188298,5
188300,26
188302,7
188304,22
188306,5
188308,13
188310,8
188312,-11
188314,-3
188316,4
188318,-6
188320,8
188322,38
188324,26
188326,27
188328,39
188330,48
188332,40
188334,12
188336,31
188338,37
188340,39
188342,49
188344,35
188346,39
188348,65
188350,36
188352,61
188354,53
188356,43
188358,37
188360,44
188362,39
188364,27
188366,57
188368,35
188370,30
188372,18
188374,47
188376,16
188378,65
188380,33
188382,17
188384,-6
188386,19
188388,1
188390,20
188392,4
188394,19
188396,5
188398,19
188400,8
188402,1
188404,24
188406,21
188408,11
188410,26
188412,35
188414,20
188416,-7
188418,18
188420,19
188422,30
188424,18
188426,19
188428,6
188430,12
188432,18
188434,15
188436,52
188438,27
188440,40
188442,27
188444,35
188446,40
188448,9
188450,34
188452,11
188454,21
188456,34
188458,47
188460,43
188462,18
188464,28
188466,22
188468,18
188470,36
188472,40
188474,13
188476,11
188478,34
188480,-1
188482,24
188484,5
188486,-20
188488,-4
188490,4
188492,33
188494,22
188496,28
188498,25
188500,-10
188502,11
188504,10
188506,-21
188508,-29
188510,-15
188512,-2
188514,24
188516,12
188518,-16
188520,-12
188522,-6
188524,-14
188526,-13
188528,19
188530,6
188532,12
188534,16
188536,12
188538,22
188540,3
188542,10
188544,10
188546,15
188548,2
188550,26
188552,16
188554,22
188556,35
188558,9
188560,11
188562,32
188564,30
188566,8
188568,5
188570,9
188572,67
188574,54
188576,45
188578,21
188580,47
188582,22
188584,18
188586,14
188588,26
188590,28
188592,38
188594,33
188596,44
188598,18
188600,18
188602,10
188604,-10
188606,16
188608,6
188610,34
188612,8
188614,-12
188616,-8
188618,-1
188620,14
188622,5
188624,9
188626,4
188628,-16
188630,6
188632,14
188634,-3
188636,13
188638,-4
188640,17
188642,10
188644,0
188646,12
188648,24
188650,26
188652,-3
188654,13
188656,21
188658,18
188660,25
188662,48
188664,40
188666,1
188668,5
188670,30
188672,32
188674,21
188676,28
188678,44
188680,40
188682,44
188684,30
188686,30
188688,56
188690,38
188692,26
188694,26
188696,24
188698,60
188700,25
188702,63
188704,35
188706,24
188708,45
188710,52
188712,37
188714,29
188716,16
188718,7
188720,14
188722,22
188724,5
188726,54
188728,12
188730,17
188732,-2
188734,-3
188736,3
188738,-6
188740,-6
188742,5
188744,43
188746,14
188748,-1
188750,-3
188752,13
188754,3
188756,5
188758,0
188760,9
188762,7
188764,23
188766,7
188768,4
188770,5
188772,20
188774,25
188776,11
188778,7
188780,32
188782,34
188784,36
188786,27
188788,19
188790,41
188792,50
188794,27
188796,27
188798,33
188800,33
188802,48
188804,39
188806,24
188808,24
188810,24
188812,47
188814,24
188816,6
188818,27
188820,13
188822,27
188824,30
188826,24
188828,-7
188830,11
188832,10
188834,14
188836,17
188838,-8
188840,0
188842,10
188844,-16
188846,4
188848,16
188850,-5
188852,19
188854,1
188856,-19
188858,-4
188860,3
188862,10
188864,11
188866,4
188868,14
188870,6
188872,3
188874,-4
188876,-15
188878,-18
188880,12
188882,0
188884,-12
188886,16
188888,35
188890,29
188892,30
188894,32
188896,2
188898,21
188900,0
188902,-18
188904,16
188906,27
188908,28
188910,19
188912,18
188914,28
188916,26
188918,7
188920,21
188922,-8
188924,9
188926,15
188928,30
188930,10
188932,36
188934,37
188936,47
188938,43
188940,26
188942,9
188944,39
188946,22
188948,15
188950,-1
188952,1
188954,20
188956,17
188958,16
188960,15
188962,17
188964,16
188966,4
188968,16
188970,-6
188972,1
188974,2
188976,20
188978,-8
188980,12
188982,16
188984,-11
188986,0
188988,15
188990,7
188992,0
188994,13
188996,40
188998,18
189000,29
189002,54
189004,26
189006,46
189008,44
189010,30
189012,16
189014,38
189016,23
189018,5
189020,46
189022,52
189024,46
189026,49
189028,13
189030,35
189032,11
189034,13
189036,11
189038,43
189040,33
189042,9
189044,13
189046,52
189048,47
189050,28
189052,15
189054,7
189056,0
189058,6
189060,-12
189062,25
189064,42
189066,19
189068,24
189070,6
189072,-2
189074,7
189076,-18
189078,9
189080,-12
189082,14
189084,16
189086,35
189088,57
189090,27
189092,35
189094,3
