Tick (ms),ADC Value
1410,-62
1412,-71
1414,-69
1416,-69
1418,-46
1420,-35
1422,-5
1424,0
1426,-17
1428,0
1430,-14
1432,-20
1434,-4
1436,-4
1438,10
1440,46
1442,56
1444,80
1446,66
1448,45
1450,39
1452,44
1454,35
1456,37
1458,31
1460,43
1462,74
1464,66
1466,50
1468,84
1470,66
1472,41
1474,28
1476,8
1478,10
1480,-15
1482,9
1484,10
1486,-9
1488,7
1490,-1
1492,-24
1494,-30
1496,-36
1498,-34
1500,-43
1502,-36
1504,-52
1506,-34
1508,-7
1510,-23
1512,-43
1514,-15
1516,-40
1518,-39
1520,-25
1522,-26
1524,-29
1526,0
1528,-15
1530,-12
1532,-15
1534,13
1536,-17
1538,5
1540,0
1542,22
1544,-8
1546,34
1548,23
1550,29
1552,33
1554,14
1556,8
1558,37
1560,16
1562,0
1564,1
1566,33
1568,12
1570,30
1572,12
1574,-2
1576,13
1578,2
1580,22
1582,3
1584,21
1586,6
1588,7
1590,1
1592,-14
1594,23
1596,2
1598,5
1600,2
1602,6
1604,-8
1606,-20
1608,-20
1610,-2
1612,-6
1614,-1
1616,15
1618,6
1620,16
1622,10
1624,15
1626,1
1628,-6
1630,-8
1632,4
1634,10
1636,-15
1638,7
1640,6
1642,-6
1644,14
1646,-21
1648,-32
1650,-19
1652,-8
1654,-2
1656,-4
1658,-20
1660,-22
1662,0
1664,-4
1666,-14
1668,21
1670,-6
1672,13
1674,29
1676,-4
1678,-3
1680,30
1682,42
1684,33
1686,46
1688,37
1690,42
1692,31
1694,42
1696,58
1698,31
1700,23
1702,32
1704,50
1706,43
1708,39
1710,35
1712,21
1714,44
1716,13
1718,14
1720,10
1722,17
1724,25
1726,-2
1728,3
1730,-2
1732,-7
1734,-26
1736,-27
1738,-25
1740,-51
1742,-35
1744,-40
1746,-25
1748,-36
1750,-20
1752,-36
1754,-53
1756,-44
1758,-53
1760,-15
1762,-37
1764,-41
1766,-27
1768,-11
1770,6
1772,2
1774,11
1776,-12
1778,8
1780,21
1782,21
1784,34
1786,41
1788,44
1790,65
1792,65
1794,43
1796,54
1798,49
1800,54
1802,56
1804,47
1806,57
1808,76
1810,65
1812,68
1814,34
1816,33
1818,22
1820,11
1822,9
1824,-6
1826,-29
1828,0
1830,-4
1832,3
1834,-23
1836,-19
1838,-51
1840,-69
1842,-69
1844,-70
1846,-56
1848,-53
1850,-49
1852,-56
1854,-37
1856,-41
1858,-62
1860,-52
1862,-46
1864,-51
1866,-30
1868,-30
1870,-10
1872,9
1874,10
1876,3
1878,-1
1880,2
1882,14
1884,20
1886,31
1888,36
1890,20
1892,58
1894,61
1896,60
1898,68
1900,55
1902,49
1904,13
1906,32
1908,31
1910,19
1912,10
1914,23
1916,26
1918,34
1920,4
1922,27
1924,20
1926,-34
1928,-15
1930,-24
1932,-13
1934,-14
1936,-12
1938,3
1940,-16
1942,-9
1944,-1
1946,-9
1948,-33
1950,-46
1952,-5
1954,-28
1956,-22
1958,0
1960,-25
1962,12
1964,-13
1966,12
1968,0
1970,-20
1972,-24
1974,-9
1976,5
1978,8
1980,23
1982,6
1984,8
1986,-9
1988,-2
1990,-15
1992,-23
1994,-28
1996,-4
1998,-17
2000,-6
2002,-27
2004,-20
2006,2
2008,-11
2010,11
2012,-18
2014,3
2016,10
2018,7
2020,18
2022,6
2024,19
2026,7
2028,27
2030,36
2032,31
2034,37
2036,31
2038,45
2040,50
2042,52
2044,46
2046,41
2048,76
2050,78
2052,51
2054,40
2056,42
2058,48
2060,50
2062,25
2064,26
2066,23
2068,32
2070,30
2072,18
2074,2
2076,-20
2078,-26
2080,-19
2082,-42
2084,-50
2086,-41
2088,-62
2090,-52
2092,-45
2094,-74
2096,-58
2098,-66
2100,-74
2102,-52
2104,-62
2106,-53
2108,-49
2110,-52
2112,-7
2114,-10
2116,-16
2118,-3
2120,1
2122,11
2124,22
2126,36
2128,20
2130,54
2132,53
2134,67
2136,76
2138,81
2140,80
2142,66
2144,52
2146,72
2148,62
2150,60
2152,69
2154,74
2156,92
2158,68
2160,67
2162,79
2164,48
2166,17
2168,10
2170,12
2172,-8
2174,-2
2176,-4
2178,6
2180,11
2182,-26
2184,-10
2186,-16
2188,-55
2190,-62
2192,-64
2194,-59
2196,-69
2198,-54
2200,-60
2202,-35
2204,-57
2206,-40
2208,-36
2210,-56
2212,-44
2214,-33
2216,-55
2218,-29
2220,-22
2222,9
2224,16
2226,9
2228,14
2230,29
2232,17
2234,40
2236,32
2238,25
2240,33
2242,47
2244,64
2246,62
2248,74
2250,57
2252,63
2254,65
2256,36
2258,37
2260,39
2262,16
2264,26
2266,34
2268,11
2270,27
2272,28
2274,16
2276,4
2278,-4
2280,-37
2282,-13
2284,-31
2286,-41
2288,-25
2290,-38
2292,-21
2294,-15
2296,-20
2298,-44
2300,-55
2302,-47
2304,-38
2306,-50
2308,-26
2310,-26
2312,-19
2314,6
2316,-17
2318,14
2320,-17
2322,-6
2324,-3
2326,2
2328,-18
2330,-6
2332,45
2334,18
2336,31
2338,13
2340,12
2342,10
2344,-22
2346,6
2348,14
2350,16
2352,21
2354,56
2356,30
2358,45
2360,32
2362,22
2364,-10
2366,-2
2368,12
2370,21
2372,41
2374,41
2376,46
2378,29
2380,53
2382,17
2384,23
2386,7
2388,-15
2390,-8
2392,15
2394,33
2396,26
2398,32
2400,27
2402,26
2404,17
2406,21
2408,-14
2410,9
2412,-15
2414,4
2416,22
2418,23
2420,40
2422,37
2424,30
2426,-9
2428,12
2430,-3
2432,1
2434,-18
2436,-9
2438,10
2440,9
2442,28
2444,20
2446,24
2448,2
2450,-3
2452,5
2454,-9
2456,13
2458,15
2460,-12
2462,7
2464,5
2466,16
2468,-2
2470,17
2472,-4
2474,-5
2476,38
2478,15
2480,36
2482,58
2484,21
2486,46
2488,37
2490,42
2492,35
2494,38
2496,44
2498,45
2500,53
2502,71
2504,37
2506,37
2508,46
2510,20
2512,40
2514,7
2516,29
2518,8
2520,33
2522,25
2524,9
2526,12
2528,14
2530,18
2532,-10
2534,-8
2536,-29
2538,-14
2540,-24
2542,-15
2544,-24
2546,0
2548,-14
2550,-8
2552,-23
2554,-52
2556,-51
2558,-52
2560,-19
2562,-22
2564,-10
2566,-24
2568,-3
2570,9
2572,23
2574,4
2576,-24
2578,-22
2580,25
2582,15
2584,25
2586,16
2588,30
2590,13
2592,42
2594,30
2596,22
2598,26
2600,22
2602,41
2604,58
2606,30
2608,28
2610,21
2612,25
2614,18
2616,35
2618,40
2620,30
2622,21
2624,5
2626,-10
2628,-3
2630,10
2632,-13
2634,-25
2636,-2
2638,-6
2640,-34
2642,-43
2644,-48
2646,-33
2648,-30
2650,-23
2652,-15
2654,-22
2656,-24
2658,-17
2660,-36
2662,-16
2664,-16
2666,-21
2668,1
2670,6
2672,-3
2674,-4
2676,17
2678,1
2680,-1
2682,0
2684,-1
2686,14
2688,30
2690,37
2692,11
2694,41
2696,19
2698,34
2700,19
2702,37
2704,20
2706,9
2708,12
2710,18
2712,21
2714,22
2716,4
2718,20
2720,17
2722,0
2724,-3
2726,-22
2728,-28
2730,0
2732,-1
2734,5
2736,-16
2738,3
2740,-5
2742,14
2744,-10
2746,13
2748,0
2750,-26
2752,-18
2754,-6
2756,-2
2758,0
2760,31
2762,19
2764,17
2766,25
2768,40
2770,27
2772,7
2774,0
2776,25
2778,35
2780,18
2782,26
2784,11
2786,20
2788,19
2790,6
2792,-6
2794,1
2796,0
2798,-7
2800,-3
2802,12
2804,18
2806,-4
2808,-15
2810,-28
2812,-3
2814,-35
2816,2
2818,-22
2820,-9
2822,-8
2824,0
2826,6
2828,41
2830,9
2832,14
2834,8
2836,-6
2838,31
2840,38
2842,12
2844,33
2846,46
2848,56
2850,57
2852,41
2854,43
2856,14
2858,4
2860,15
2862,24
2864,19
2866,30
2868,36
2870,34
2872,25
2874,0
2876,25
2878,-1
2880,-5
2882,-31
2884,-18
2886,2
2888,2
2890,-12
2892,-24
2894,-26
2896,-53
2898,-28
2900,-45
2902,-40
2904,-16
2906,-26
2908,-21
2910,-7
2912,-15
2914,0
2916,7
2918,-2
2920,9
2922,8
2924,18
2926,17
2928,38
2930,27
2932,36
2934,42
2936,65
2938,55
2940,45
2942,49
2944,41
2946,39
2948,45
2950,53
2952,61
2954,45
2956,40
2958,46
2960,17
2962,2
2964,1
2966,1
2968,6
2970,-15
2972,-20
2974,-11
2976,-6
2978,-27
2980,-29
2982,-36
2984,-23
2986,-32
2988,-47
2990,-26
2992,-29
2994,-14
2996,-6
2998,-30
3000,-25
3002,-13
3004,-7
3006,-11
3008,10
3010,15
3012,21
3014,41
3016,39
3018,38
3020,17
3022,49
3024,22
3026,24
3028,35
3030,23
3032,32
3034,39
3036,48
3038,35
3040,42
3042,25
3044,18
3046,9
3048,16
3050,9
3052,8
3054,-4
3056,13
3058,17
3060,7
3062,-15
3064,-5
3066,-17
3068,-6
3070,-13
3072,-11
3074,0
3076,7
3078,-2
3080,-12
3082,14
3084,10
3086,-8
3088,19
3090,17
3092,0
3094,12
3096,7
3098,43
3100,50
3102,42
3104,26
3106,59
3108,43
3110,31
3112,39
3114,38
3116,20
3118,34
3120,52
3122,38
3124,30
3126,47
3128,39
3130,21
3132,7
3134,-4
3136,-6
3138,-10
3140,-11
3142,9
3144,15
3146,8
3148,-23
3150,11
3152,-26
3154,-31
3156,-16
3158,-25
3160,-23
3162,-42
3164,-31
3166,-15
3168,1
3170,-13
3172,-16
3174,-21
3176,-23
3178,-8
3180,-35
3182,-1
3184,-8
3186,4
3188,33
3190,42
3192,32
3194,12
3196,10
3198,25
3200,30
3202,47
3204,68
3206,51
3208,75
3210,42
3212,47
3214,59
3216,29
3218,63
3220,67
3222,32
3224,61
3226,44
3228,37
3230,24
3232,25
3234,26
3236,33
3238,22
3240,35
3242,27
3244,13
3246,32
3248,22
3250,-7
3252,10
3254,7
3256,4
3258,-6
3260,0
3262,0
3264,9
3266,-11
3268,-8
3270,-14
3272,-15
3274,-20
3276,-5
3278,-19
3280,-23
3282,0
3284,-4
3286,1
3288,-23
3290,-27
3292,-11
3294,3
3296,-10
3298,9
3300,13
3302,21
3304,17
3306,12
3308,16
3310,18
3312,14
3314,38
3316,20
3318,43
3320,31
3322,40
3324,23
3326,22
3328,37
3330,3
3332,13
3334,26
3336,13
3338,26
3340,38
3342,36
3344,27
3346,38
3348,42
3350,18
3352,21
3354,23
3356,28
3358,17
3360,15
3362,13
3364,26
3366,14
3368,6
3370,-13
3372,18
3374,11
3376,-15
3378,-15
3380,10
3382,-7
3384,-1
3386,-20
3388,-4
3390,-17
3392,-16
3394,-22
3396,-5
3398,-22
3400,-13
3402,8
3404,0
3406,1
3408,-33
3410,-29
3412,-17
3414,-30
3416,-27
3418,3
3420,24
3422,17
3424,39
3426,19
3428,22
3430,30
3432,10
3434,21
3436,26
3438,2
3440,21
3442,33
3444,39
3446,41
3448,47
3450,41
3452,36
3454,32
3456,17
3458,26
3460,18
3462,25
3464,44
3466,35
3468,45
3470,38
3472,6
