Tick (ms),ADC Value
19408,7
19410,20
19412,4
19414,11
19416,16
19418,41
19420,62
19422,52
19424,29
19426,26
19428,28
19430,9
19432,9
19434,-6
19436,13
19438,22
19440,46
19442,43
19444,15
19446,31
19448,21
19450,26
19452,9
19454,-8
19456,8
19458,30
19460,19
19462,24
19464,32
19466,36
19468,99
19470,9
19472,0
19474,17
19476,119
19478,20
19480,5
19482,23
19484,28
19486,27
19488,30
19490,10
19492,1
19494,-6
19496,41
19498,30
19500,22
19502,31
19504,23
19506,11
19508,5
19510,18
19512,-9
19514,10
19516,0
19518,13
19520,111
19522,93
19524,19
19526,11
19528,63
19530,-5
19532,-3
19534,4
19536,3
19538,12
19540,23
19542,21
19544,11
19546,11
19548,6
19550,11
19552,6
19554,24
19556,27
19558,44
19560,19
19562,37
19564,43
19566,22
19568,32
19570,24
19572,35
19574,16
19576,111
19578,38
19580,58
19582,147
19584,97
19586,35
19588,33
19590,13
19592,21
19594,33
19596,22
19598,48
19600,147
19602,45
19604,39
19606,25
19608,125
19610,18
19612,22
19614,35
19616,18
19618,27
19620,34
19622,39
19624,34
19626,119
19628,10
19630,13
19632,45
19634,30
19636,43
19638,47
19640,41
19642,27
19644,58
19646,41
19648,63
19650,167
19652,41
19654,38
19656,40
19658,36
19660,36
19662,36
19664,36
19666,52
19668,42
19670,31
19672,33
19674,54
19676,40
19678,38
19680,43
19682,63
19684,30
19686,52
19688,50
19690,23
19692,58
19694,153
19696,35
19698,39
19700,40
19702,56
19704,43
19706,39
19708,41
19710,39
19712,131
19714,54
19716,52
19718,30
19720,49
19722,34
19724,37
19726,46
19728,50
19730,53
19732,43
19734,41
19736,36
19738,14
19740,95
19742,35
19744,45
19746,42
19748,30
19750,45
19752,39
19754,41
19756,39
19758,28
19760,123
19762,12
19764,21
19766,31
19768,40
19770,11
19772,33
19774,11
19776,13
19778,35
19780,14
19782,77
19784,13
19786,15
19788,33
19790,17
19792,28
19794,28
19796,30
19798,8
19800,7
19802,17
19804,-15
19806,8
19808,59
19810,29
19812,22
19814,4
19816,6
19818,33
19820,19
19822,32
19824,1
19826,22
19828,111
19830,61
19832,23
19834,12
19836,19
19838,19
19840,33
19842,0
19844,105
19846,-4
19848,14
19850,16
19852,32
19854,34
19856,10
19858,20
19860,39
19862,29
19864,15
19866,3
19868,26
19870,1
19872,0
19874,71
19876,11
19878,0
19880,55
19882,27
19884,6
19886,-9
19888,-6
19890,-9
19892,22
19894,6
19896,17
19898,9
19900,20
19902,14
19904,20
19906,-12
19908,-5
19910,13
19912,71
19914,6
19916,10
19918,18
19920,29
19922,12
19924,15
19926,18
19928,59
19930,67
19932,14
19934,16
19936,7
19938,28
19940,28
19942,16
19944,14
19946,37
19948,12
19950,15
19952,17
19954,24
19956,34
19958,89
19960,26
19962,39
19964,37
19966,99
19968,59
19970,45
19972,45
19974,1
19976,31
19978,119
19980,39
19982,44
19984,9
19986,24
19988,10
19990,2
19992,10
19994,11
19996,21
19998,28
20000,27
20002,28
20004,33
20006,9
20008,25
20010,35
20012,3
20014,24
20016,14
20018,37
20020,28
20022,20
20024,26
20026,36
20028,24
20030,23
20032,13
20034,9
20036,51
20038,30
20040,53
20042,44
20044,40
20046,18
20048,46
20050,27
20052,24
20054,155
20056,143
20058,49
20060,53
20062,41
20064,39
20066,44
20068,46
20070,37
20072,27
20074,43
20076,30
20078,38
20080,57
20082,37
20084,21
20086,35
20088,34
20090,13
20092,117
20094,40
20096,24
20098,35
20100,18
20102,31
20104,43
20106,44
20108,26
20110,45
20112,33
20114,40
20116,33
20118,38
20120,32
20122,21
20124,141
20126,28
20128,31
20130,22
20132,67
20134,109
20136,13
20138,30
20140,13
20142,43
20144,33
20146,18
20148,14
20150,45
20152,28
20154,20
20156,42
20158,39
20160,41
20162,32
20164,38
20166,49
20168,29
20170,27
20172,39
20174,23
20176,46
20178,38
20180,27
20182,22
20184,41
20186,29
20188,57
20190,29
20192,23
20194,4
20196,15
20198,14
20200,107
20202,35
20204,30
20206,24
20208,103
20210,24
20212,29
20214,4
20216,-1
20218,1
20220,24
20222,5
20224,34
20226,133
20228,18
20230,0
20232,4
20234,8
20236,-1
20238,19
20240,16
20242,5
20244,24
20246,33
20248,13
20250,34
20252,13
20254,9
20256,-3
20258,12
20260,40
20262,12
20264,18
20266,40
20268,15
20270,131
20272,34
20274,13
20276,81
20278,31
20280,91
20282,157
20284,38
20286,48
20288,66
20290,42
20292,42
20294,40
20296,22
20298,20
20300,131
20302,24
20304,25
20306,22
20308,25
20310,39
20312,10
20314,2
20316,81
20318,33
20320,24
20322,33
20324,25
20326,11
20328,35
20330,37
20332,48
20334,4
20336,16
20338,10
20340,12
20342,2
20344,20
20346,8
20348,23
20350,27
20352,67
20354,25
20356,37
20358,17
20360,46
20362,27
20364,28
20366,62
20368,60
20370,56
20372,53
20374,27
20376,41
20378,26
20380,45
20382,38
20384,32
20386,60
20388,38
20390,54
20392,29
20394,57
20396,53
20398,51
20400,33
20402,35
20404,24
20406,32
20408,50
20410,49
20412,41
20414,39
20416,44
20418,22
20420,42
20422,27
20424,35
20426,47
20428,47
20430,43
20432,21
20434,33
20436,99
20438,47
20440,40
20442,33
20444,15
20446,27
20448,26
20450,25
20452,9
20454,24
20456,38
20458,28
20460,25
20462,2
20464,19
20466,45
20468,26
20470,11
20472,23
20474,45
20476,17
20478,25
20480,28
20482,27
20484,41
20486,28
20488,49
20490,26
20492,53
20494,39
20496,29
20498,107
20500,35
20502,28
20504,37
20506,27
20508,36
20510,38
20512,17
20514,61
20516,7
20518,14
20520,30
20522,7
20524,27
20526,29
20528,34
20530,13
20532,8
20534,18
20536,12
20538,23
20540,-8
20542,9
20544,12
20546,-34
20548,8
20550,21
20552,-7
20554,97
20556,16
20558,51
20560,16
20562,-3
20564,19
20566,20
20568,7
20570,12
20572,26
20574,23
20576,36
20578,7
20580,18
20582,27
20584,24
20586,38
20588,28
20590,29
20592,7
20594,19
20596,4
20598,13
20600,10
20602,-1
20604,23
20606,79
20608,5
20610,0
20612,9
20614,5
20616,-9
20618,7
20620,1
20622,-14
20624,14
20626,18
20628,13
20630,10
20632,0
20634,9
20636,32
20638,21
20640,23
20642,44
20644,34
20646,36
20648,33
20650,16
20652,27
20654,15
20656,7
20658,19
20660,25
20662,28
20664,47
20666,50
20668,41
20670,22
20672,41
20674,28
20676,20
20678,40
20680,107
20682,25
20684,69
20686,35
20688,21
20690,39
20692,32
20694,91
20696,-1
20698,20
20700,30
20702,3
20704,28
20706,15
20708,28
20710,17
20712,24
20714,30
20716,27
20718,26
20720,33
20722,17
20724,35
20726,41
20728,25
20730,34
20732,52
20734,30
20736,55
20738,36
20740,21
20742,123
20744,60
20746,30
20748,48
20750,57
20752,53
20754,39
20756,40
20758,18
20760,26
20762,41
20764,39
20766,36
20768,18
20770,29
20772,32
20774,117
20776,28
20778,79
20780,30
20782,16
20784,11
20786,83
20788,24
20790,40
20792,50
20794,23
20796,18
20798,39
20800,53
20802,25
20804,13
20806,27
20808,45
20810,62
20812,40
20814,36
20816,59
20818,31
20820,26
20822,46
20824,33
20826,40
20828,33
20830,51
20832,115
20834,60
20836,40
20838,41
20840,21
20842,50
20844,30
20846,22
20848,21
20850,27
20852,119
20854,44
20856,43
20858,38
20860,23
20862,18
20864,21
20866,21
20868,24
20870,17
20872,12
20874,14
20876,10
20878,11
20880,6
20882,-3
20884,22
20886,123
20888,47
20890,29
20892,31
20894,35
20896,32
20898,27
20900,40
20902,49
20904,45
20906,57
20908,63
20910,57
20912,32
20914,47
20916,151
20918,33
20920,141
20922,53
20924,67
20926,50
20928,46
20930,30
20932,45
20934,145
20936,-11
20938,17
20940,93
20942,57
20944,34
20946,14
20948,20
20950,32
20952,53
20954,27
20956,11
20958,0
20960,19
20962,16
20964,21
20966,2
20968,27
20970,6
20972,26
20974,17
20976,34
20978,97
20980,33
20982,33
20984,21
20986,38
20988,14
20990,133
20992,43
20994,53
20996,30
20998,20
21000,32
21002,47
21004,58
21006,45
21008,50
21010,55
21012,54
21014,43
21016,33
21018,36
21020,48
21022,27
21024,22
21026,25
21028,21
21030,19
21032,49
21034,22
21036,22
21038,22
21040,10
21042,19
21044,26
21046,31
21048,4
21050,19
21052,0
21054,17
21056,30
21058,25
21060,25
21062,17
21064,26
21066,34
21068,99
21070,39
21072,37
21074,169
21076,57
21078,43
21080,45
21082,31
21084,14
21086,38
21088,50
21090,42
21092,30
21094,62
21096,52
21098,36
21100,135
21102,31
21104,40
21106,32
21108,42
21110,49
21112,54
21114,32
21116,23
21118,55
21120,5
21122,6
21124,10
21126,41
21128,22
21130,44
21132,6
21134,18
21136,11
21138,-9
21140,-10
21142,18
21144,14
21146,14
21148,5
21150,0
21152,23
21154,-3
21156,31
21158,19
21160,26
21162,22
21164,30
21166,31
21168,19
21170,27
21172,35
21174,32
21176,37
21178,34
21180,52
21182,19
21184,51
21186,42
21188,61
21190,54
21192,151
21194,56
21196,39
21198,51
21200,21
21202,20
21204,45
21206,34
21208,22
21210,16
21212,28
21214,109
21216,20
21218,21
21220,4
21222,55
21224,18
21226,31
21228,-8
21230,-4
21232,4
21234,-7
21236,-4
21238,9
21240,9
21242,6
21244,20
21246,23
21248,19
21250,4
21252,13
21254,9
21256,-11
21258,9
21260,26
21262,21
21264,53
21266,29
21268,55
21270,111
21272,19
21274,39
21276,12
21278,39
21280,26
21282,151
21284,67
21286,19
21288,38
21290,43
21292,29
21294,28
21296,83
21298,25
21300,22
21302,54
21304,42
21306,35
21308,16
21310,18
21312,16
21314,20
21316,23
21318,10
21320,16
21322,19
21324,26
21326,16
21328,14
21330,10
21332,19
21334,-5
21336,0
21338,21
21340,1
21342,22
21344,21
21346,14
21348,5
21350,19
21352,95
21354,57
21356,19
21358,10
21360,17
21362,31
21364,36
21366,9
21368,21
21370,34
21372,18
21374,2
21376,18
21378,28
21380,43
21382,44
21384,42
21386,34
21388,48
21390,34
21392,42
21394,40
21396,33
21398,18
21400,60
21402,31
21404,30
21406,47
21408,24
21410,36
21412,129
21414,54
21416,41
21418,34
21420,117
21422,33
21424,44
21426,13
21428,30
21430,32
21432,39
21434,34
21436,12
21438,11
21440,19
21442,8
21444,20
21446,28
21448,29
21450,27
21452,24
21454,19
21456,8
21458,23
21460,18
21462,15
21464,24
21466,23
21468,29
21470,48
21472,43
21474,17
21476,28
21478,39
21480,22
21482,49
21484,27
21486,29
21488,47
21490,47
21492,60
21494,40
21496,58
21498,31
21500,49
21502,125
21504,55
21506,23
21508,48
21510,33
21512,65
21514,47
21516,54
21518,21
21520,42
21522,27
21524,42
21526,27
21528,34
21530,36
21532,22
21534,41
21536,25
21538,105
21540,29
21542,115
21544,-15
21546,3
21548,16
21550,19
21552,46
21554,31
21556,11
21558,33
21560,36
21562,30
21564,-5
21566,38
21568,25
21570,22
21572,36
21574,109
21576,37
21578,28
21580,139
21582,32
21584,37
21586,19
21588,44
21590,44
21592,52
21594,43
21596,43
21598,48
21600,38
21602,38
21604,33
21606,49
21608,46
21610,53
21612,42
21614,19
21616,13
21618,41
21620,29
21622,11
21624,25
21626,21
21628,7
21630,0
21632,12
21634,26
21636,17
21638,9
21640,7
21642,5
21644,13
21646,24
21648,17
21650,22
21652,26
21654,4
21656,17
21658,16
21660,11
21662,7
21664,21
21666,18
21668,37
21670,19
21672,17
21674,45
21676,44
21678,13
21680,49
21682,27
21684,27
21686,34
21688,48
21690,34
21692,25
21694,45
21696,53
21698,33
21700,25
21702,27
21704,47
21706,35
21708,26
21710,20
21712,16
21714,40
21716,25
21718,14
21720,39
21722,10
21724,32
21726,24
21728,24
21730,12
21732,22
21734,22
21736,11
21738,36
21740,17
21742,5
21744,101
21746,14
21748,25
21750,37
21752,109
21754,32
21756,107
21758,43
21760,31
21762,37
21764,25
21766,32
21768,30
21770,22
21772,97
21774,25
21776,42
21778,39
21780,83
21782,30
21784,31
21786,40
21788,31
21790,35
21792,18
21794,50
21796,41
21798,29
21800,43
21802,47
21804,38
21806,38
21808,31
21810,24
21812,13
21814,34
21816,28
21818,93
21820,39
21822,3
21824,25
21826,26
21828,15
21830,30
21832,21
21834,38
21836,16
21838,8
21840,13
21842,28
21844,29
21846,32
21848,23
21850,40
21852,23
21854,32
21856,33
21858,22
21860,29
21862,115
21864,16
21866,107
21868,29
21870,26
21872,9
21874,27
21876,32
21878,27
21880,32
21882,19
21884,17
21886,107
21888,4
21890,19
21892,10
21894,20
21896,32
21898,20
21900,19
21902,15
21904,5
21906,11
21908,33
21910,37
21912,20
21914,30
21916,24
21918,17
21920,79
21922,5
21924,11
21926,19
21928,33
21930,20
21932,12
21934,125
21936,29
21938,18
21940,0
21942,20
21944,33
21946,19
21948,77
21950,0
21952,95
21954,143
21956,9
21958,28
21960,19
21962,22
21964,19
21966,18
21968,26
21970,40
21972,23
21974,31
21976,20
21978,35
21980,101
21982,10
21984,26
21986,13
21988,1
21990,12
21992,10
21994,3
21996,35
21998,101
22000,24
22002,16
22004,20
22006,19
22008,9
22010,9
22012,31
22014,9
22016,27
22018,38
22020,31
22022,83
22024,9
22026,21
22028,38
22030,29
22032,5
22034,32
22036,32
22038,15
22040,51
22042,33
22044,26
22046,6
22048,15
22050,28
22052,15
22054,23
22056,27
22058,41
22060,44
22062,43
22064,45
22066,17
22068,21
22070,48
22072,39
22074,54
22076,54
22078,44
22080,48
22082,53
22084,22
22086,30
22088,30
22090,36
22092,36
22094,29
22096,30
22098,45
22100,49
22102,50
22104,34
22106,24
22108,42
22110,28
22112,28
22114,45
22116,33
22118,34
22120,26
22122,13
22124,143
22126,45
22128,28
22130,43
22132,21
22134,41
22136,37
22138,47
22140,26
22142,52
22144,37
22146,43
22148,46
22150,46
22152,36
22154,38
22156,39
22158,29
22160,23
22162,29
22164,27
22166,29
22168,32
22170,44
22172,26
22174,45
22176,48
22178,37
22180,40
22182,38
22184,33
22186,111
22188,16
22190,27
22192,45
22194,41
22196,20
22198,31
22200,83
22202,37
22204,28
22206,28
22208,14
22210,36
22212,16
22214,35
22216,35
22218,13
22220,40
22222,10
22224,4
22226,0
22228,21
22230,6
22232,24
22234,37
22236,29
22238,39
22240,119
22242,9
22244,131
22246,31
22248,28
22250,50
22252,18
22254,17
22256,22
22258,42
22260,55
22262,12
22264,29
22266,28
22268,30
22270,75
22272,35
22274,35
22276,37
22278,23
22280,39
22282,40
22284,46
22286,26
22288,45
22290,42
22292,15
22294,14
22296,43
22298,10
22300,37
22302,44
22304,27
22306,25
22308,13
22310,11
22312,7
22314,9
22316,105
22318,9
22320,29
22322,6
22324,17
22326,19
22328,63
22330,14
22332,33
22334,12
22336,12
22338,23
22340,26
22342,10
22344,35
22346,30
22348,14
22350,17
22352,8
22354,31
22356,41
22358,34
22360,28
22362,47
22364,33
22366,28
22368,24
22370,28
22372,41
22374,33
22376,21
22378,15
22380,35
22382,19
22384,111
22386,15
22388,41
22390,9
22392,21
22394,22
22396,15
22398,43
22400,40
22402,46
22404,17
22406,20
22408,12
22410,33
22412,36
22414,26
22416,30
22418,18
22420,47
22422,38
22424,12
22426,20
22428,69
22430,24
22432,45
22434,38
22436,57
22438,39
22440,45
22442,13
22444,17
22446,22
22448,33
22450,17
22452,117
22454,47
22456,29
22458,40
22460,22
22462,37
22464,30
22466,15
22468,14
22470,35
22472,15
22474,33
22476,48
22478,4
22480,29
22482,30
22484,26
22486,18
22488,37
22490,21
22492,23
22494,39
22496,16
22498,24
22500,31
22502,30
22504,30
22506,44
22508,9
22510,19
22512,-1
22514,34
22516,91
22518,37
22520,27
22522,6
22524,21
22526,46
22528,15
22530,6
22532,5
22534,17
22536,31
22538,36
22540,38
22542,26
22544,8
22546,23
22548,29
22550,29
22552,12
22554,16
22556,29
22558,22
22560,29
22562,24
22564,27
22566,43
22568,15
22570,12
22572,7
22574,18
22576,36
22578,14
22580,26
22582,39
22584,20
22586,29
22588,36
22590,29
22592,11
22594,24
22596,36
22598,34
22600,9
22602,14
22604,51
22606,27
22608,16
22610,23
22612,81
22614,14
22616,5
22618,32
22620,3
22622,8
22624,41
22626,17
22628,33
22630,38
22632,25
22634,4
22636,25
22638,26
22640,23
22642,35
22644,26
22646,17
22648,25
22650,2
22652,20
22654,9
22656,7
22658,38
22660,32
22662,36
22664,43
22666,39
22668,26
22670,28
22672,2
22674,123
22676,42
22678,31
22680,139
22682,39
22684,34
22686,14
22688,14
22690,14
22692,8
22694,11
22696,25
22698,23
22700,40
22702,22
22704,32
22706,22
22708,43
22710,29
22712,13
22714,79
22716,38
22718,20
22720,26
22722,29
22724,23
22726,22
22728,13
22730,10
22732,97
22734,14
22736,32
22738,42
22740,36
22742,14
22744,35
22746,48
22748,20
22750,23
22752,29
22754,85
22756,19
22758,3
22760,34
22762,7
22764,28
22766,43
22768,22
22770,30
22772,23
22774,16
22776,16
22778,27
22780,24
22782,54
22784,39
22786,13
22788,26
22790,29
22792,36
22794,21
22796,42
22798,16
22800,36
22802,28
22804,22
22806,41
22808,33
22810,36
22812,12
22814,27
22816,9
22818,105
22820,16
22822,26
22824,12
22826,21
22828,39
22830,18
22832,20
22834,14
22836,16
22838,20
22840,18
22842,35
22844,16
22846,23
22848,33
22850,16
22852,18
22854,17
22856,31
22858,16
22860,34
22862,37
22864,33
22866,37
22868,30
22870,32
22872,28
22874,37
22876,55
22878,46
22880,37
22882,53
22884,52
22886,25
22888,23
22890,22
22892,40
22894,39
22896,29
22898,28
22900,22
22902,143
22904,33
22906,45
22908,37
22910,34
22912,36
22914,41
22916,30
22918,24
22920,21
22922,30
22924,21
22926,36
22928,18
22930,37
22932,30
22934,41
22936,38
22938,27
22940,39
22942,46
22944,28
22946,14
22948,31
22950,29
22952,25
22954,40
22956,11
22958,46
22960,19
22962,93
22964,24
22966,35
22968,37
22970,25
22972,17
22974,81
22976,23
22978,10
22980,23
22982,27
22984,23
22986,14
22988,20
22990,21
22992,32
22994,42
22996,15
22998,13
23000,83
23002,7
23004,17
23006,19
23008,37
23010,23
23012,25
23014,18
23016,13
23018,10
23020,40
23022,21
23024,30
23026,9
23028,14
23030,25
23032,23
23034,35
23036,2
23038,34
