Time (s),Sensor Value
2.365872859954834,0.01
2.458894729614258,-0.07
2.553154706954956,-0.03
2.6473288536071777,0.07
2.741527795791626,0.12
2.8357458114624023,0.09
2.929898738861084,0.12
3.028207778930664,0.01
3.122511863708496,-0.02
3.2166500091552734,0.03
3.310851812362671,-0.08
3.4050838947296143,0.03
3.499264717102051,-0.02
3.593493700027466,-0.06
3.687642812728882,-0.05
3.7818517684936523,0.05
3.880121946334839,0.05
3.97438907623291,0.05
4.068590879440308,0.01
4.162787914276123,-0.07
4.257019758224487,-0.04
4.351143836975098,0.02
4.445393800735474,-0.09
4.539574861526489,-0.14
4.6337878704071045,-0.08
4.732050895690918,-0.09
4.826275825500488,-0.03
4.92053484916687,0.04
5.0147247314453125,0.09
5.108921766281128,-0.05
5.203146934509277,-0.09
5.29732084274292,-0.08
5.3915510177612305,-0.12
5.485714912414551,-0.05
5.579944849014282,0.07
5.678171873092651,0.12
5.772414922714233,0.03
5.866591930389404,-0.07
5.960802793502808,0.07
6.055042743682861,0.10
6.149275779724121,0.01
6.243485927581787,-0.09
6.337613821029663,-0.00
6.431813955307007,0.02
6.530167818069458,0.10
6.624369859695435,0.15
6.718549013137817,0.08
6.812760829925537,0.00
6.906949758529663,-0.01
7.001125812530518,0.01
7.095362901687622,0.11
7.189584970474243,0.10
7.283790826797485,0.07
7.382102727890015,-0.00
7.476280689239502,-0.05
7.570533752441406,-0.04
7.664647817611694,-0.20
7.758900880813599,-0.12
7.85310173034668,-0.01
7.947296857833862,0.04
8.041462659835815,0.00
8.135685920715332,-0.04
8.234029769897461,0.08
8.328195810317993,0.06
8.422451972961426,0.12
8.516612768173218,0.15
8.610846996307373,0.13
8.705015897750854,0.03
8.799218893051147,-0.02
8.893393993377686,-0.04
8.987587928771973,0.07
9.085896968841553,0.03
9.180181741714478,-0.04
9.274321794509888,-0.04
9.368528842926025,0.02
9.462770938873291,-0.07
9.556950807571411,0.01
9.651193857192993,-0.02
9.74537181854248,0.01
9.839613914489746,0.13
9.937849760055542,0.02
10.032036781311035,-0.06
10.126247882843018,0.05
10.220448017120361,0.13
10.314673900604248,-0.01
10.40885877609253,-0.05
10.5030357837677,-0.01
