Time (s),Sensor Value
2.365875005722046,0.03
2.4600582122802734,0.05
2.5542478561401367,0.08
2.648400068283081,0.15
2.7426869869232178,0.23
2.836833953857422,0.15
2.931067943572998,0.13
3.0252420902252197,0.01
3.1194980144500732,0.01
3.2177531719207764,0.07
3.3119139671325684,0.05
3.4061508178710938,0.04
3.500361919403076,0.00
3.5945420265197754,0.08
3.688767910003662,-0.07
3.7829701900482178,0.12
3.877197027206421,0.21
3.9713878631591797,0.12
4.069679021835327,-0.05
4.163935899734497,0.03
4.258025884628296,0.16
4.352245092391968,0.10
4.446465015411377,0.11
4.540693998336792,0.15
4.634857892990112,-0.03
4.729091167449951,-0.05
4.823333024978638,0.00
4.917484998703003,0.03
5.0157129764556885,-0.02
5.109950065612793,0.05
5.204153060913086,-0.01
5.298367977142334,0.03
5.392578125,-0.02
5.486762046813965,0.01
5.581022024154663,0.04
5.675209999084473,0.06
5.769418954849243,0.13
5.86768102645874,0.04
5.961846113204956,-0.03
6.056110143661499,-0.02
6.150321960449219,0.13
6.2445008754730225,0.23
6.338701963424683,0.31
6.432859897613525,0.08
6.527098894119263,0.04
6.621280908584595,0.08
6.7195141315460205,0.08
6.8138251304626465,0.10
6.907971143722534,0.11
7.002262115478516,0.20
7.102022886276245,0.10
7.190619945526123,0.10
7.284813165664673,0.13
