Tick (ms),ADC Value
264886,-33
264888,-51
264890,-43
264892,-62
264894,-42
264896,-9
264898,1
264900,0
264902,29
264904,9
264906,34
264908,29
264910,19
264912,21
264914,25
264916,32
264918,48
264920,66
264922,80
264924,74
264926,56
264928,65
264930,54
264932,68
264934,46
264936,49
264938,87
264940,80
264942,42
264944,66
264946,35
264948,32
264950,37
264952,29
264954,11
264956,12
264958,24
264960,2
264962,14
264964,17
264966,11
264968,14
264970,-18
264972,15
264974,-9
264976,-22
264978,2
264980,-21
264982,-4
264984,-5
264986,4
264988,14
264990,-7
264992,-9
264994,-9
264996,5
264998,11
265000,4
265002,23
265004,30
265006,31
265008,33
265010,30
265012,29
265014,60
265016,44
265018,43
265020,46
265022,48
265024,46
265026,21
265028,52
265030,36
265032,41
265034,60
265036,26
265038,35
265040,40
265042,31
265044,-16
265046,25
265048,33
265050,4
265052,0
265054,32
265056,10
265058,21
265060,1
265062,9
265064,16
265066,-12
265068,11
265070,21
265072,33
265074,24
265076,17
265078,29
265080,41
265082,35
265084,-10
265086,25
265088,13
265090,17
265092,13
265094,21
265096,39
265098,18
265100,36
265102,33
265104,20
265106,8
265108,12
265110,15
265112,4
265114,17
265116,26
265118,30
265120,38
265122,33
265124,5
265126,2
265128,5
265130,7
265132,16
265134,8
265136,-11
265138,0
265140,13
265142,8
265144,6
265146,26
265148,13
265150,16
265152,-1
265154,14
265156,-1
265158,10
265160,12
265162,36
265164,-43
265166,51
265168,43
265170,23
265172,53
265174,16
265176,-28
265178,25
265180,3
265182,27
265184,39
265186,42
265188,42
265190,51
265192,28
265194,20
265196,14
265198,-37
265200,5
265202,24
265204,30
265206,29
265208,28
265210,35
265212,34
265214,6
265216,-8
265218,-21
265220,-29
265222,-14
265224,-24
265226,-16
265228,8
265230,27
265232,-8
265234,-2
265236,-6
265238,-12
265240,-39
265242,-24
265244,-13
265246,6
265248,-34
265250,18
265252,43
265254,33
265256,48
265258,29
265260,17
265262,-8
265264,9
265266,53
265268,39
265270,59
265272,46
265274,70
265276,54
265278,50
265280,64
265282,66
265284,52
265286,39
265288,51
265290,43
265292,24
265294,47
265296,62
265298,62
265300,64
265302,37
265304,27
265306,20
265308,-3
265310,16
265312,-13
265314,3
265316,8
265318,-11
265320,14
265322,0
265324,12
265326,-39
265328,-18
265330,-35
265332,-28
265334,-25
265336,-13
265338,-14
265340,-9
265342,5
265344,-6
265346,-9
265348,14
265350,4
265352,22
265354,32
265356,21
265358,-26
265360,28
265362,26
265364,52
265366,39
265368,52
265370,62
265372,53
265374,38
265376,52
265378,37
265380,69
265382,71
265384,44
265386,71
265388,-14
265390,37
265392,46
265394,23
265396,66
265398,4
265400,48
265402,56
265404,42
265406,43
265408,37
265410,32
265412,19
265414,17
265416,29
265418,13
265420,-7
265422,-14
265424,-1
265426,-4
265428,20
265430,0
265432,-5
265434,24
265436,-1
265438,-5
265440,6
265442,-9
265444,0
265446,-3
265448,7
265450,45
265452,27
265454,25
265456,4
265458,20
265460,-3
265462,7
265464,9
265466,16
265468,49
265470,54
265472,53
265474,44
265476,54
265478,31
265480,27
265482,34
265484,32
265486,20
265488,40
265490,24
265492,54
265494,38
265496,56
265498,37
265500,25
265502,28
265504,17
265506,51
265508,10
265510,19
265512,20
265514,38
265516,37
265518,41
265520,21
265522,36
265524,10
265526,4
265528,13
265530,46
265532,47
265534,20
265536,41
265538,41
265540,28
265542,24
265544,16
265546,3
265548,14
265550,25
265552,23
265554,21
265556,18
265558,6
265560,8
265562,15
265564,10
265566,10
265568,1
265570,42
265572,38
265574,5
265576,13
265578,1
265580,23
265582,11
265584,8
265586,7
265588,33
265590,16
265592,-3
265594,2
265596,33
