Tick (ms),ADC Value
43824,19
43826,31
43828,1
43830,13
43832,52
43834,37
43836,53
43838,46
43840,80
43842,63
43844,69
43846,42
43848,29
43850,43
43852,40
43854,72
43856,69
43858,88
43860,77
43862,89
43864,63
43866,55
43868,21
43870,35
43872,43
43874,50
43876,72
43878,88
43880,101
43882,102
43884,74
43886,64
43888,53
43890,57
43892,66
43894,69
43896,48
43898,62
43900,88
43902,44
43904,44
43906,43
43908,52
43910,35
43912,30
43914,72
43916,48
43918,31
43920,49
43922,43
43924,41
43926,54
43928,46
43930,31
43932,39
43934,20
43936,54
43938,47
43940,61
43942,68
43944,53
43946,47
43948,56
43950,39
43952,26
43954,41
43956,59
43958,45
43960,70
43962,67
43964,97
43966,73
43968,60
43970,39
43972,47
43974,19
43976,32
43978,43
43980,82
43982,98
43984,104
43986,94
43988,73
43990,75
43992,41
43994,21
43996,30
43998,49
44000,56
44002,55
44004,64
44006,79
44008,85
44010,66
44012,53
44014,37
44016,28
44018,32
44020,42
44022,50
44024,74
44026,77
44028,71
44030,55
44032,45
44034,24
44036,17
44038,20
44040,50
44042,21
44044,50
44046,55
44048,65
44050,66
44052,40
44054,31
44056,54
44058,25
44060,24
44062,46
44064,61
44066,54
44068,43
44070,42
44072,74
44074,71
44076,80
44078,52
44080,71
44082,57
44084,44
44086,40
44088,52
44090,69
44092,74
44094,82
44096,63
44098,72
44100,53
44102,47
44104,42
44106,56
44108,51
44110,32
44112,45
44114,56
44116,42
44118,47
44120,50
44122,41
44124,44
44126,56
44128,40
44130,51
44132,57
44134,76
44136,61
44138,62
44140,46
44142,54
44144,54
44146,39
44148,76
44150,48
44152,53
44154,58
44156,93
44158,75
44160,75
44162,80
44164,68
44166,54
44168,48
44170,40
44172,60
44174,54
44176,68
44178,68
44180,57
44182,77
44184,75
44186,38
44188,52
44190,48
44192,50
44194,32
44196,79
44198,52
44200,72
44202,64
44204,71
44206,75
44208,48
44210,39
44212,42
44214,36
44216,47
44218,32
44220,76
44222,79
44224,69
44226,79
44228,78
44230,54
44232,44
44234,61
44236,47
44238,39
44240,61
44242,68
44244,93
44246,68
44248,69
44250,66
44252,61
44254,54
44256,69
44258,57
44260,70
44262,50
44264,59
44266,71
44268,52
44270,58
44272,78
44274,81
44276,68
44278,70
44280,50
44282,43
44284,56
44286,54
44288,65
44290,63
44292,28
44294,43
44296,67
44298,62
44300,42
44302,60
44304,77
44306,74
44308,64
44310,68
44312,53
44314,65
44316,63
44318,73
44320,62
44322,76
44324,78
44326,73
44328,64
44330,72
44332,58
44334,81
44336,43
44338,77
44340,78
44342,64
44344,67
44346,78
44348,76
44350,75
44352,78
44354,60
44356,67
44358,47
44360,73
44362,58
44364,66
44366,65
44368,67
44370,47
44372,51
44374,59
44376,50
44378,57
44380,68
44382,83
44384,65
44386,54
44388,50
44390,42
44392,48
44394,40
44396,65
44398,81
44400,70
44402,78
44404,70
44406,68
44408,54
44410,38
44412,25
44414,51
44416,46
44418,55
44420,61
44422,73
44424,79
44426,66
44428,63
44430,71
44432,32
44434,51
44436,48
44438,51
44440,62
44442,72
44444,77
44446,95
44448,89
44450,49
44452,41
44454,33
44456,46
44458,58
44460,90
44462,86
44464,111
44466,68
44468,82
44470,75
44472,69
44474,47
44476,81
44478,77
44480,67
44482,72
44484,76
44486,71
44488,84
44490,75
44492,62
44494,74
44496,86
44498,75
44500,82
44502,57
44504,67
44506,78
44508,68
44510,67
44512,71
44514,71
44516,57
44518,69
44520,53
44522,54
44524,39
44526,57
44528,65
44530,57
44532,72
44534,60
44536,41
44538,43
44540,50
44542,39
44544,64
44546,73
44548,54
44550,55
44552,65
44554,58
44556,79
44558,72
44560,61
44562,56
44564,77
44566,74
44568,72
44570,88
44572,99
44574,105
44576,89
44578,99
44580,101
44582,77
44584,89
44586,64
44588,90
