Tick (ms),ADC Value
381428,-209
381430,-225
381432,-197
381434,-235
381436,-196
381438,-192
381440,-185
381442,-198
381444,-222
381446,-233
381448,-227
381450,-213
381452,-222
381454,-212
381456,-227
381458,-221
381460,-259
381462,-213
381464,-231
381466,-213
381468,-267
381470,-228
381472,-267
381474,-267
381476,-227
381478,-247
381480,-255
381482,-239
381484,-225
381486,-237
381488,-251
381490,-277
381492,-208
381494,-233
381496,-217
381498,-220
381500,-179
381502,-235
381504,-217
381506,-220
381508,-187
381510,-221
381512,-226
381514,-208
381516,-181
381518,-207
381520,-196
381522,-180
381524,-178
381526,-185
381528,-178
381530,-201
381532,-209
381534,-196
381536,-207
381538,-169
381540,-203
381542,-179
381544,-175
381546,-176
381548,-187
381550,-193
381552,-210
381554,-193
381556,-188
381558,-177
381560,-204
381562,-208
381564,-219
381566,-187
381568,-217
381570,-203
381572,-219
381574,-235
381576,-215
381578,-221
381580,-207
381582,-220
381584,-223
381586,-205
381588,-221
381590,-227
381592,-226
381594,-275
381596,-219
381598,-243
381600,-228
381602,-235
381604,-198
381606,-235
381608,-245
381610,-217
381612,-217
381614,-251
381616,-227
381618,-236
381620,-259
381622,-221
381624,-204
381626,-201
381628,-217
381630,-201
381632,-255
381634,-187
381636,-230
381638,-235
381640,-255
381642,-212
381644,-263
381646,-353
381648,-243
381650,-219
381652,-236
381654,-337
381656,-237
381658,-241
381660,-235
381662,-271
381664,-241
381666,-263
381668,-283
381670,-285
381672,-228
381674,-233
381676,-289
381678,-277
381680,-229
381682,-271
381684,-269
381686,-263
381688,-283
381690,-287
381692,-251
381694,-224
381696,-241
381698,-233
381700,-225
381702,-214
381704,-222
381706,-211
381708,-212
381710,-233
381712,-245
381714,-243
381716,-301
381718,-287
381720,-291
381722,-335
381724,-283
381726,-277
381728,-251
381730,-226
381732,-230
381734,-205
381736,-223
381738,-199
381740,-219
381742,-188
381744,-205
381746,-172
381748,-151
381750,-114
381752,-121
381754,-131
381756,-134
381758,-126
381760,-149
381762,-188
381764,-148
381766,-194
381768,-137
381770,-182
381772,-131
381774,-185
381776,-169
381778,-179
381780,-211
381782,-219
381784,-198
381786,-195
381788,-230
381790,-209
381792,-208
381794,-226
381796,-291
381798,-259
381800,-323
381802,-355
381804,-357
381806,-371
381808,-331
381810,-403
381812,-435
381814,-459
381816,-429
381818,-463
381820,-433
381822,-417
381824,-387
381826,-369
381828,-411
381830,-343
381832,-349
381834,-291
381836,-349
381838,-283
381840,-327
381842,-259
381844,-267
381846,-235
381848,-205
381850,-183
381852,-190
381854,-194
381856,-203
381858,-201
381860,-176
381862,-208
381864,-155
381866,-171
381868,-169
381870,-197
381872,-171
381874,-174
381876,-204
381878,-221
381880,-215
381882,-235
381884,-235
381886,-271
381888,-243
381890,-230
381892,-283
381894,-353
381896,-325
381898,-335
381900,-341
381902,-423
381904,-335
381906,-395
381908,-371
381910,-359
381912,-387
381914,-385
381916,-401
381918,-373
381920,-401
381922,-365
381924,-395
381926,-303
381928,-451
381930,-287
381932,-357
381934,-293
381936,-369
381938,-261
381940,-311
381942,-307
381944,-327
381946,-243
381948,-271
381950,-243
381952,-220
381954,-230
381956,-241
381958,-217
381960,-213
381962,-224
381964,-222
381966,-227
381968,-208
381970,-197
381972,-178
381974,-189
381976,-171
381978,-201
381980,-174
381982,-199
381984,-181
381986,-194
381988,-169
381990,-164
381992,-161
381994,-159
381996,-160
381998,-171
382000,-158
382002,-204
382004,-188
382006,-174
382008,-155
382010,-188
382012,-185
382014,-169
382016,-192
382018,-183
382020,-183
382022,-197
382024,-188
382026,-208
382028,-219
382030,-181
382032,-213
382034,-199
382036,-219
382038,-204
382040,-238
382042,-227
382044,-224
382046,-204
382048,-210
382050,-231
382052,-174
382054,-195
382056,-187
382058,-191
382060,-171
382062,-215
382064,-181
382066,-211
382068,-156
382070,-180
382072,-162
382074,-145
382076,-107
382078,-159
382080,-130
382082,-142
382084,-130
382086,-165
382088,-159
382090,-126
382092,-101
382094,-103
382096,-113
382098,-86
382100,-101
382102,-97
382104,-129
382106,-102
382108,-131
382110,-135
382112,-119
382114,-107
382116,-97
382118,-89
382120,-123
382122,-125
382124,-132
382126,-143
382128,-153
382130,-158
382132,-177
382134,-155
382136,-146
382138,-134
382140,-126
382142,-130
382144,-140
382146,-157
