Frame,Robot_X,Robot_Y,Robot_Z,Roll_deg,Pitch_deg,Yaw_deg
1,0.012594077007909427,0.5429189771726254,-0.0438469901910568,-4.020186576896116,-12.21142856305024,-91.53003433210316
2,0.012504227672419188,0.5526833073931304,-0.030834017129955517,-4.4123012369180525,-11.8767634399142,-91.17098126141008
3,0.016382581992959618,0.5609106539250344,-0.05855775642284175,-4.773087370397505,-13.49515413147637,-91.5021781577614
4,0.01656223594777291,0.5470781383596366,-0.057130533438219236,-4.715818934293831,-13.106622274728338,-91.55338182259061
5,0.017166201120436427,0.5542539187334536,-0.05642856159663291,-4.664381066508689,-13.289583197839715,-91.13310578321891
6,0.01411211306781431,0.5590709291694023,-0.04048557987484619,-4.3666548510520355,-11.045341404199837,-90.81085844232088
7,0.013555767587578165,0.5580809703185211,-0.03456076376011233,-5.734554624277748,-10.273196783498992,-89.97991679668428
8,0.013481039131325829,0.5662525732269138,-0.035742896913562236,-5.866283467537272,-10.41885629775449,-90.33885954488387
9,0.014164487774053743,0.5637057012819665,-0.05403735769970968,-5.341354673457995,-10.209436701379763,-90.39943213269676
10,0.012381650062343213,0.566028007010291,-0.044995626772402014,-5.3260384957243,-10.184755127215016,-90.42655698066774
11,0.01639032690325263,0.5691791152098966,-0.045798576522477916,-4.088079855086906,-9.730910253672537,-90.79561215913206
12,0.010848511794636109,0.5612198208156676,-0.035606578468114256,-5.187231713374988,-10.900527338592509,-90.00967766026498
13,0.012954433843195598,0.574564963247357,-0.042719162405956766,-5.018688203678009,-11.216184556857517,-89.20010089956419
14,0.011244719080723466,0.5537506122485644,-0.040457948965312185,-4.79844533302004,-11.207402182790334,-90.3518394823322
15,0.014306827420606856,0.5630964238774626,-0.0320744634596152,-4.8126754527377305,-9.154557208092255,-90.25148519065914
16,0.011187755752370389,0.5685077027074924,-0.04313705141245965,-4.4097484349062785,-10.074435928487782,-90.35487370809602
17,0.012155133034800262,0.566919162965027,-0.054606317811102034,-4.394096169814906,-10.047640271510769,-90.3822285319595
18,0.011900712895219986,0.5667368040992667,-0.05549383251363331,-4.394096169814906,-10.047640271510769,-90.3822285319595
19,0.011204076332563921,0.5609010911675818,-0.051451763237012504,-4.271709608136195,-10.769136501331502,-89.96448104731238
20,0.010492807769826753,0.5609193762320285,-0.05490652574134358,-4.501764281031689,-10.772735314264283,-90.69774993763754
21,0.0105061077195284,0.5615305128472903,-0.05496637354062403,-4.021241478395842,-10.25765464393055,-90.72867483636168
