Tick (ms),ADC Value
5586,101
5588,97
5590,84
5592,84
5594,69
5596,49
5598,74
5600,77
5602,76
5604,65
5606,50
5608,55
5610,47
5612,3
5614,25
5616,34
5618,35
5620,62
5622,39
5624,43
5626,57
5628,79
5630,63
5632,24
5634,53
5636,59
5638,77
5640,80
5642,99
5644,85
5646,93
5648,97
5650,106
5652,86
5654,98
5656,85
5658,100
5660,80
5662,99
5664,128
5666,112
5668,104
5670,124
5672,75
5674,99
5676,61
5678,108
5680,96
5682,82
5684,98
5686,62
5688,92
5690,42
5692,54
5694,52
5696,58
5698,47
5700,43
5702,43
5704,50
5706,36
5708,55
5710,15
5712,84
5714,41
5716,49
5718,75
5720,77
5722,87
5724,78
5726,83
5728,102
5730,109
5732,75
5734,97
5736,94
5738,111
5740,133
5742,142
5744,144
5746,131
5748,150
5750,136
5752,152
5754,117
5756,111
5758,145
5760,110
5762,166
5764,124
5766,125
5768,118
5770,137
5772,106
5774,71
5776,122
5778,96
5780,75
5782,93
5784,88
5786,96
5788,98
5790,98
5792,75
5794,95
5796,75
5798,95
5800,94
5802,110
5804,124
5806,122
5808,120
5810,115
5812,165
5814,106
5816,120
5818,137
5820,162
5822,151
5824,160
5826,127
5828,176
5830,145
5832,120
5834,148
5836,147
5838,135
5840,137
5842,153
5844,151
5846,112
5848,126
5850,122
5852,101
5854,92
5856,125
5858,86
5860,78
5862,65
5864,71
5866,58
5868,51
5870,15
5872,38
5874,42
5876,36
5878,43
5880,32
5882,30
5884,21
5886,27
5888,16
5890,-25
5892,1
5894,44
5896,40
5898,40
5900,46
5902,79
5904,49
5906,57
5908,101
5910,83
5912,75
5914,70
5916,114
5918,151
5920,122
5922,157
5924,172
5926,160
5928,146
5930,180
5932,143
5934,99
5936,169
5938,150
5940,196
5942,192
5944,215
5946,159
5948,167
5950,138
5952,141
5954,181
5956,120
5958,180
5960,166
5962,136
5964,169
5966,35
5968,181
5970,139
5972,154
5974,101
5976,110
5978,140
5980,121
5982,145
5984,139
5986,122
5988,142
5990,102
5992,98
5994,112
5996,107
5998,111
6000,101
6002,122
6004,152
6006,90
6008,120
6010,77
6012,106
6014,96
6016,73
6018,103
6020,140
6022,101
6024,100
6026,76
6028,134
6030,96
6032,84
6034,65
6036,98
6038,100
6040,121
6042,131
6044,126
6046,84
6048,135
6050,76
6052,90
6054,91
6056,109
6058,119
6060,114
6062,121
6064,108
6066,94
6068,114
6070,95
6072,89
6074,66
6076,65
6078,123
6080,106
6082,116
6084,113
6086,87
6088,124
6090,89
6092,90
6094,98
6096,98
6098,106
6100,112
6102,99
6104,121
6106,127
6108,124
6110,102
6112,106
6114,84
6116,82
6118,86
6120,84
6122,121
6124,112
6126,88
6128,116
6130,102
6132,73
6134,89
6136,83
6138,86
6140,92
6142,115
6144,127
6146,112
6148,109
6150,100
6152,120
6154,110
6156,84
6158,100
6160,124
6162,108
6164,92
6166,109
6168,84
6170,100
6172,86
6174,81
6176,64
6178,82
6180,95
6182,125
6184,70
6186,16
6188,110
6190,96
6192,97
6194,79
6196,53
6198,69
6200,132
6202,114
6204,136
6206,71
6208,102
6210,68
6212,90
6214,83
6216,94
6218,93
6220,84
6222,107
6224,116
6226,100
6228,85
6230,95
6232,63
6234,67
6236,72
6238,89
6240,76
6242,72
6244,80
6246,66
6248,82
6250,68
6252,41
6254,48
6256,52
6258,83
